#erel:= 0.850;
#emax:= 2390.849;
#q:= 0.000;
#nesce:=     9;
#etime:= 0.079;
#snodes:=   247;
param nS:=    10;
param nSG:=    34;
param nRVSG [*] :=
 1 24    5  2    9  2   13  2   17  2   21  9   25  2   29  2   33  2
 2 24    6  2   10  2   14  2   18  2   22  2   26  2   30  2   34 24
 3 24    7 20   11 17   15  2   19  2   23  2   27  2   31  2
 4 24    8  2   12  2   16 13   20  2   24  2   28  4   32  2
;

param ScenF [*] :=
  1  55.7802       59  99.8935      117  76.4098      175  79.5131
  2  72.9941       60  92.7501      118  80.3478      176  77.7881
  3  63.8442       61  78.3384      119  98.1808      177  69.2846
  4  57.0692       62  70.2555      120  97.7728      178  88.2466
  5  55.9033       63  57.0835      121   0.0784383   179 115.036
  6  59.2327       64  46.6864      122   0           180 133.567
  7  68.6881       65  45.6851      123   0.0948688   181  98.2922
  8  76.0513       66  59.7829      124   0           182   0.210649
  9  99.7551       67  75.5385      125   0.0871142   183   0.558
 10 114.913        68  98.6732      126   0           184   0.21351
 11 108.471        69  92.5373      127  43.8264      185   0.4578
 12  94.7724       70  86.4387      128  68.3107      186   0.24943
 13  82.2914       71  82.9271      129  71.4848      187   0.2566
 14  73.8982       72  68.6662      130  74.6861      188   0.301488
 15  59.2364       73  58.5587      131 103.625       189   0.0086
 16  45.524        74  85.2998      132 103.84        190   0.307683
 17  40.5873       75  79.646       133  91.7411      191   0
 18  56.8615       76  75.1226      134  74.8088      192   0.25134
 19  82.1228       77  67.7008      135  75.1788      193   0
 20  93.5034       78  73.6773      136  67.1951      194 110.533
 21  79.886        79  82.9537      137  65.5285      195  98.0697
 22  80.7066       80  86.8034      138  72.5838      196  88.1885
 23  84.3937       81 104.246       139  76.5334      197  77.0754
 24  67.0892       82 101.232       140  82.7052      198   0.200597
 25  24.6511       83 101.909       141  94.2308      199   0
 26  33.8352       84  98.0947      142 103.734       200   0.203128
 27  40.6367       85  87.7536      143  79.1838      201   0
 28  38.2626       86  72.4265      144   0.0744777   202   0.198294
 29  37.3237       87  64.8616      145   0           203   0
 30  33.9628       88  69.8624      146   0.0721004   204   0.197112
 31  30.9936       89  79.7045      147   0           205   0
 32  19.9481       90  92.5907      148   0.100641    206   0.228116
 33   9.18636      91  97.7716      149   0.0204      207   0
 34   9.55688      92 108.676       150   0.112008    208   0.325582
 35  23.1757       93 101.944       151   0.2229      209   0
 36  39.1597       94  95.3052      152  66.8415      210   0
 37  49.2591       95  93.3793      153  91.2645      211   0
 38  51.662        96  77.6787      154  80.6939      212   0.973893
 39  45.6993       97   0.0492188   155  75.8593      213   0.265229
 40  44.9132       98   0           156  70.5168      214   0
 41  39.6523       99   0.0577224   157  66.2127      215   3.97425
 42  38.9959      100   0           158  63.9278      216   0.60185
 43  59.6238      101  38.5153      159  66.6487      217   0.349903
 44  21.0979      102  59.3189      160  70.6352      218   2.67748
 45  26.0163      103  54.7769      161  71.4754      219   2.08325
 46  26.742       104  51.4264      162  72.3707      220   2.33908
 47  33.2881      105  39.3092      163  79.1536      221   0
 48  30.6753      106  37.8417      164  69.2086      222   0
 49  53.1123      107  46.7033      165   0.132417    223   0
 50  64.2943      108  55.0498      166   0.448       224   8.26665
 51  48.0162      109  91.1078      167   0.169878    225   4.5682
 52  35.1427      110  97.2407      168   0.5908      226   0.599885
 53  33.5387      111 103.214       169   0.200666    227   0.361571
 54  42.4222      112  89.2083      170   0.6646      228   0.276361
 55  56.7576      113  86.0545      171   0.213666    229   0.38735
 56  60.5311      114  78.1778      172   0.6457      230   0.494666
 57  91.6099      115  62.2423      173  71.4994      231   0.537831
 58 103.488       116  62.4322      174  75.9661
;

param ScenO [*] :=
  1  91.76        59 126.75       117 109          175 106
  2  90.85        60 122.27       118 123          176 105.24
  3  88.01        61 113.98       119 151.16       177 119.04
  4  85.73        62 112.78       120 149          178 142
  5  83.62        63 112.78       121   0.016      179 144
  6  84.71        64 111.35       122   0          180 137.96
  7  91.02        65 114.24       123   0.015      181 127
  8 108           66 125          124   0          182   0.133
