#erel:= 0.850;
#emax:= 2566.514;
#q:= 0.000;
#nesce:=    10;
#etime:= 0.048;
#snodes:=   273;
param nS:=    10;
param nSG:=    34;
param nRVSG [*] :=
 1 24    5  2    9  2   13  2   17  2   21  9   25  2   29  2   33  2
 2 24    6  2   10  2   14  2   18  2   22  2   26  2   30  2   34 24
 3 24    7 20   11 17   15  2   19  2   23  2   27  2   31  2
 4 24    8  2   12  2   16 13   20  2   24  2   28  4   32  2
;

param ScenF [*] :=
  1  64.0179        59  34.4368       117  48.2104       175  19.7069
  2  77.2596        60  30.9259       118  51.2838       176  15.4178
  3  64.7034        61  24.0029       119  68.2662       177  22.3312
  4  56.8723        62  26.9517       120  64.0035       178  50.4274
  5  55.3394        63  26.7955       121   0.15788      179  75.351
  6  53.8543        64  26.6449       122   0            180  89.1141
  7  53.6402        65  26.3897       123   0.162446     181  61.4077
  8  45.6959        66  23.837        124   0            182   0
  9  49.0781        67  50.0589       125   0.174367     183   0.6074
 10  47.6717        68  79.1001       126   0            184   0
 11  45.2593        69  88.1793       127  34.4997       185   0.4684
 12  38.5637        70  76.6846       128  55.5721       186   0.00366548
 13  35.8177        71  81.7998       129  55.98         187   0.2587
 14  37.7878        72  82.8391       130  47.5013       188   0.0630998
 15  33.64          73  56.667        131  60.7697       189   0.005
 16  23.5406        74  87.0505       132  63.6278       190   0.0990759
 17  22.1817        75  83.1007       133  57.5402       191   0
 18  27.8829        76  78.8664       134  49.8972       192   0.120923
 19  46.3208        77  73.6092       135  53.1825       193   0
 20  70.8769        78  75.2756       136  56.3034       194 100.802
 21  75.8517        79  75.663        137  61.9533       195  93.0024
 22  80.7477        80  68.3426       138  59.4975       196  85.9645
 23  89.7108        81  63.788        139  55.1538       197  77.0589
 24  68.1309        82  59.0527       140  60.6035       198   0.138897
 25  17.0428        83  69.2469       141  90.2579       199   0
 26  23.9193        84  76.5062       142 107.984        200   0.165122
 27  27.519         85  73.1869       143  88.7079       201   0
 28  28.8687        86  71.2034       144   0.177742     202   0.17953
