#erel:= 0.850;
#emax:= 2341.383;
#q:= 0.000;
#nesce:=    10;
#etime:= 0.038;
#snodes:=   249;
param nS:=    10;
param nSG:=    34;
param nRVSG [*] :=
 1 24    5  2    9  2   13  2   17  2   21  9   25  2   29  2   33  2
 2 24    6  2   10  2   14  2   18  2   22  2   26  2   30  2   34 24
 3 24    7 20   11 17   15  2   19  2   23  2   27  2   31  2
 4 24    8  2   12  2   16 13   20  2   24  2   28  4   32  2
;

param ScenF [*] :=
  1 40.6497       59 44.1824      117  0.783299    175 23.1438
  2 59.4882       60 42.5864      118 12.2214      176 20.0834
  3 58.6788       61 44.929       119 22.3275      177 23.4594
  4 54.1805       62 49.0394      120 23.0769      178 44.6318
  5 49.3228       63 46.4414      121  0.205467    179 67.3765
  6 48.5418       64 36.1104      122  0           180 85.7576
  7 45.0878       65 22.3928      123  0.217201    181 60.34
  8 41.7649       66 35.8896      124  0           182  0.554909
  9 43.2593       67 51.7595      125  0.220728    183  0.534
 10 34.6873       68 69.0423      126  0           184  0.547917
 11 21.0398       69 73.336       127 34.9463      185  0.4261
 12 13.6737       70 68.5345      128 52.6536      186  0.568799
 13 15.9543       71 64.0218      129 49.0266      187  0.218
 14 17.0755       72 61.7409      130 35.2981      188  0.602329
 15 14.2268       73 38.5498      131 37.5315      189  0.0034
 16  3.81937      74 63.0014      132 36.1397      190  0.614609
 17  9.3377       75 64.8295      133 22.672       191  0
 18 29.5911       76 67.696       134 18.6344      192  0.58498
 19 56.4859       77 67.7831      135 20.9315      193  0
 20 76.2017       78 66.3903      136 18.369       194 94.2108
 21 75.7329       79 58.1579      137 16.7762      195 93.4873
 22 74.8882       80 47.9924      138 13.5765      196 80.7257
 23 75.1807       81 43.2318      139 13.1688      197 63.3512
 24 62.9971       82 41.0663      140 25.3016      198  0.530007
 25 13.4783       83 47.8335      141 46.6452      199  0
 26 13.6127       84 54.1774      142 65.0476      200  0.501261
 27 11.1899       85 57.5034      143 53.7868      201  0
 28 10.9116       86 60.7661      144  0.248441    202  0.432655
 29 10.791        87 60.0208      145  0           203  0
 30 12.3283       88 52.3572      146  0.247552    204  0.325512
 31 16.4695       89 45.5424      147  0           205  0
 32 14.0653       90 47.1721      148  0.23151     206  0.232073
 33 13.8135       91 60.6811      149  0.0282      207  0
 34 10.0038       92 73.2544      150  0.264904    208  0.488568
 35 15.6267       93 84.8487      151  0.2146      209  2.72481
 36  9.65384      94 82.826       152 46.3727      210 39.8347
 37  6.55952      95 79.7038      153 56.9454      211  1.87775
 38  2.83073      96 74.9776      154 46.9049      212  0
 39  9.10597      97  0.096762    155 34.9726      213  3.02868
 40 20.5477       98  0           156 27.3179      214  0.764612
 41 39.8175       99  0.157453    157 27.2876      215  0
 42 22.0782      100  0           158 26.7401      216  0.590867
 43  0           101 33.7581      159 29.6976      217  1.72526
 44  0           102 44.9028      160 29.5665      218  0
 45  0           103 39.9833      161 35.6969      219  0
 46  6.16779     104 34.0901      162 54.0515      220  0
 47  4.27243     105 34.3145      163 66.158       221  7.06513
 48  0           106 34.1649      164 61.3578      222  1.44483
 49 40.6041      107 25.5583      165  0.361417    223  0
 50 69.7175      108 19.9873      166  0.3746      224 87.8754
 51 66.2975      109 18.7685      167  0.478618    225 10.0533
 52 68.4326      110 19.4739      168  0.5199      226  0
 53 70.1059      111  9.62393     169  0.553704    227  0.0746755
 54 75.8837      112  8.20806     170  0.5848      228  0.269151
 55 67.3435      113  8.71861     171  0.572869    229  0.71838
 56 60.4058      114 10.5082      172  0.5848      230  0.841943
 57 56.6343      115  6.28468     173 21.1399      231  1.49308
 58 46.6795      116  0           174 21.608
;

param ScenO [*] :=
  1  62           59  55.5        117  51.69       175  60.62
  2  72.55        60  50          118  50.01       176  57.5
  3  69.5         61  48.36       119  69.81       177  52.7
  4  66.34        62  48.1        120  85.56       178  67.57
  5  60           63  48.99       121   0.037      179  93.55
  6  61.16        64  49          122   0          180  94.3
  7  60           65  47.49       123   0.022      181  86.35
  8  57           66  55.46       124   0          182   0.095
  9  66.34        67  74.58       125   0.018      183   0.603
 10  70           68  98.56       126   0          184   0.155
 11  70.5         69 104          127  61.23       185   0.464
 12  59.52        70 104          128  69.5        186   0.22
 13  47.86        71  88          129  69.5        187   0.24
 14  47.6         72  72.83       130  69.5        188   0.272
 15  48.99        73  62          131  55.66       189   0.004
 16  47.6         74  60.01       132  57.19       190   0.362
 17  46.99        75  54.5        133  54.19       191   0
 18  68.45        76  50.01       134  51.45       192   0.413
 19  77.57        77  50.01       135  47.86       193   0
 20 101.55        78  50.01       136  47.61       194  68.64
 21 109.3         79  50.01       137  49          195  60.01
 22 109.3         80  50.01       138  52.36       196  50.01
 23  92.85        81  50.01       139  51.69       197  45.01
 24  76.93        82  50.01       140  56          198   0.437
 25  45           83  50.01       141  75.55       199   0
 26  17.68        84  50.01       142  92          200   0.481
 27  36           85  52.65       143  92          201   0
 28  31.2         86  52.36       144   0.019      202   0.55
 29  34.2         87  53.33       145   0          203   0
 30  34.56        88  52.36       146   0.019      204   0.594
 31  34.2         89  51.69       147   0          205   0
 32  31.52        90  53.45       148   0.041      206   0.647
 33  25.28        91  74.58       149   0.019      207   0
 34  22.88        92  96.6        150   0.063      208   0.427581
 35  27.44        93 103.84       151   0.184      209   0.683666
 36  53.24        94 103.31       152  54.19       210   0.732662
 37  45           95  87.8        153  54.19       211   1.24796
 38  45           96  71.93       154  50.65       212   1.381
 39  46.44        97   0.059      155  50.22       213   1.31311
 40  48.92        98   0          156  48.85       214   1.3485
 41  46.96        99   0.05       157  50          215   1.45719
 42  49.92       100   0          158  50          216   0.953723
 43  14.04       101  61.23       159  52.6        217   1.07286
 44   5.28       102  60.01       160  51.69       218   0.865532
 45   5.28       103  69.5        161  59.95       219   0.779906
 46   5.28       104  63          162  77.2        220   1.48224
 47   5          105  65.01       163  95.46       221   1.67185
 48   8          106  65.01       164  98.37       222   1.67402
 49  59          107  60          165   0.061      223   1.72248
 50  59.81       108  60          166   0.403      224   0.896787
 51  57          109  59.71       167   0.059      225   0.261651
 52  55.23       110  50          168   0.63       226   0.626015
 53  51          111  50          169   0.057      227   0.654161
 54  51.16       112  49.99       170   0.683      228   0.705855
 55  51          113  52.41       171   0.063      229   0.652516
 56  50.79       114  52.36       172   0.674      230   0.590199
