#erel:= 0.850;
#emax:= 2535.015;
#q:= 0.000;
#nesce:=     9;
#etime:= 0.049;
#snodes:=   244;
param nS:=    10;
param nSG:=    34;
param nRVSG [*] :=
 1 24    5  2    9  2   13  2   17  2   21  9   25  2   29  2   33  2
 2 24    6  2   10  2   14  2   18  2   22  2   26  2   30  2   34 24
 3 24    7 20   11 17   15  2   19  2   23  2   27  2   31  2
 4 24    8  2   12  2   16 13   20  2   24  2   28  4   32  2
;

param ScenF [*] :=
  1  49.2622       59 101.801       117  51.4296      175  72.4718
  2  77.0875       60  97.1541      118  56.6487      176  66.5261
  3  72.838        61  95.812       119  70.1419      177  71.6165
  4  71.2375       62  95.6806      120  68.1926      178  98.2029
  5  71.2706       63  96.1189      121   0           179 115.007
  6  72.3753       64 103.749       122   0           180 121.542
  7  75.1973       65 113.681       123   0           181  83.4323
  8  77.6495       66 122.12        124   0           182   0
  9  98.9919       67 141.524       125   0.0278105   183   0.606
 10 108.037        68 152.734       126   0           184   0
 11  97.242        69 145.046       127  61.6394      185   0.468
 12  85.6843       70 124.415       128  93.1744      186   0
 13  78.2678       71 105.227       129  92.6618      187   0.245
 14  76.7511       72 100.503       130  84.9846      188   0
 15  75.0406       73  35.1137      131 105.935       189   0.004
 16  76.4898       74  72.2098      132 109.977       190   0
 17  80.9347       75  72.2042      133 106.113       191   0
 18  93.3484       76  71.2679      134  96.0914      192   0
 19 112.898        77  68.4621      135  99.1317      193   0
 20 125.904        78  69.6549      136  94.7157      194  88.4832
 21 116.036        79  68.7229      137  94.3514      195  87.8079
 22 114.83         80  75.2096      138  95.6573      196  75.4408
 23 111.529        81  91.4568      139  95.6675      197  56.5594
 24  93.4191       82  87.2656      140 102.577       198   0
 25  17.6801       83  75.9332      141 110.902       199   0
 26  26.8226       84  72.4325      142 112.01        200   0
 27  31.8022       85  80.1155      143  84.8424      201   0
 28  32.7904       86  84.8985      144   0.0975798   202   0
 29  33.4024       87  87.5212      145   0           203   0
 30  31.9072       88  86.6165      146   0.136702    204   0
 31  33.1958       89  96.2086      147   0           205   0
 32  18.9095       90 106.388       148   0.153017    206   0.044813
 33  13.1247       91 126.761       149   0.0289      207   0
 34  24.1587       92 139.462       150   0.1131      208   1.11856
 35  64.2211       93 131.026       151   0.2431      209   5.67985
 36  76.9722       94 110.863       152  73.3617      210   8.89508
 37  84.7733       95  99.5119      153  92.5382      211   6.58765
 38  76.1518       96  94.5441      154  89.3738      212   5.73908
 39  72.5701       97   0.0968809   155  78.8715      213  10.9884
 40  72.9402       98   0           156  66.9306      214   2.68467
 41  80.2853       99   0.0318889   157  65.9997      215   0.13685
 42  61.6442      100   0           158  65.2743      216   0.76808
 43  46.7316      101  39.38        159  68.159       217   0.96596
 44   0           102  58.1306      160  67.7064      218   0.599213
 45   5.33467     103  56.7389      161  75.2185      219   0.28454
 46  19.5592      104  53.6644      162 100.418       220   1.51891
 47  24.1401      105  48.9016      163 116.643       221   2.44889
 48  21.2705      106  47.6693      164 105.426       222   0
 49  28.0211      107  49.1142      165   0.0333581   223   0
 50  67.4208      108  51.6053      166   0.4578      224  79.0249
 51  59.3173      109  70.7728      167   0           225   3.36995
 52  55.3093      110  74.5173      168   0.6335      226   0.296591
 53  51.0923      111  66.1977      169   0           227   0.0319489
 54  54.597       112  57.6794      170   0.685       228   0.169271
 55  60.5868      113  54.1225      171   0           229   0.464212
 56  69.1502      114  55.8441      172   0.676       230   0.302368
 57 103.592       115  50.9765      173  71.7183      231   0.438057
 58 113.305       116  48.3244      174  75.2316
;

param ScenO [*] :=
  1  76.94        59  94.97       117  74.02       175  86.09
  2  93.24        60  89.35       118  85          176  85.23
  3  90.78        61  82.9        119  97.12       177  73.1
  4  90.78        62  76.01       120 108.93       178 101.4
  5  80           63  77.47       121   0.054      179  99.94
  6  77.82        64  75.37       122   0          180 114.89
  7  82           65  75.02       123   0.048      181 144.2
  8  94           66  89          124   0          182   0.135
  9  96.4         67  96.58       125   0.051      183   0.603
 10  97.7         68 104.6        126   0          184   0.106
 11  96.96        69 110.89       127  81.9        185   0.465
 12  94.1         70 141.2        128  66.14       186   0.097
 13  90.78        71 106.18       129  62.99       187   0.241
 14  82           72  99.46       130  75.2        188   0.118
 15  76.47        73  72.94       131  74.4        189   0.004
 16  73.37        74  79.9        132  97.7        190   0.115
 17  73.02        75  75.78       133  98.14       191   0
 18  89           76  75.78       134  74.3        192   0.095
 19  97.12        77  76          135  72.49       193   0
 20 111.93        78  77.82       136  77.95       194 174.2
 21 110.89        79  78          137  75.22       195 114.67
 22 141.2         80  78.01       138  74.36       196 105.62
 23 109.21        81  80          139  70          197  94.78
 24  99.46        82  84.79       140  80.1        198   0.07
 25  10.56        83  92.97       141  97.27       199   0
 26   8           84  85.62       142 105.03       200   0.054
 27   8           85  77.9        143 108.67       201   0
 28   8           86  79          144   0.057      202   0.038
 29   9.44        87  76.47       145   0          203   0
 30  10.52        88  76.37       146   0.059      204   0.023
 31   8.44        89  78.02       147   0          205   0
