ren_type,branch,num_scenarios_folder,scenario_dir,lane,pinned_cores,concurrency_lanes,threads_per_solve,pid,hostname,loadavg_1min_start,loadavg_1min_end,num_scenarios_original,num_scenarios_reduced,num_scenarios_in_model,preprocess_time_s,build_instance_time_s,solve_time_s,wall_time_total_s,solver_status,termination_condition,solver_message,solver_wallclock_time_s,num_variables,num_constraints,num_binary_vars,num_integer_vars,lower_bound,upper_bound,gurobi_nodes_explored,gurobi_simplex_iterations,gurobi_best_objective,gurobi_best_bound,gurobi_gap_pct,obj_fun,obj_DA_income,obj_RM_income,obj_IM_income,obj_IB_income,obj_IB_costs,obj_IB_net,obj_FD_costs,results_dir,solver_log_path,status,error,traceback
same_ren,15min_ren_same,50,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc50_15min_same_ren,0,"0,1,2,3",1,4,4015289,azathoth,0.58203125,1.2548828125,50,30,30,0.3750789165496826,0.23140645027160645,21.91269612312317,28.3846914768219,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,80731,235064,8640,8640,-22533.476012379313,-22531.927919147347,1,66520,-22533.47601238,-22531.92791915,0.0069,-22533.476012379517,-32733.47712539609,4954.659350304497,5434.832026139936,307.4544808902122,399.0419837219145,-91.5875028317023,97.9027605960974,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc50_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc50_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,100,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc100_15min_same_ren,4,"16,17,18,19",16,4,4017883,azathoth,0.06640625,10.7666015625,100,37,37,0.7230861186981201,0.8478186130523682,23.156837940216064,33.57142090797424,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,99568,289086,10656,10656,-22344.797529983167,-22344.797529983167,1,77281,-22344.79752998,-22344.79752998,0.0,-22344.79752998512,-37814.007892261725,5965.50065288809,9689.849152382101,188.07555062312977,281.4549108945072,-93.37936027137741,92.76008272213733,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc100_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc100_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,90,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc90_15min_same_ren,3,"12,13,14,15",16,4,4017887,azathoth,0.06640625,13.34814453125,90,44,44,0.6516633033752441,0.6768410205841064,29.596769332885742,40.574198722839355,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,118405,384464,12672,12672,-22911.9681928418,-22911.96819284106,1,85221,-22911.96819284,-22911.96819284,0.0,-22911.968192841814,-38534.47089816057,5631.058404953866,10105.909633395659,228.24517078693566,250.5583262127413,-22.313155425805633,92.15217760493961,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc90_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc90_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,60,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc60_15min_same_ren,0,"0,1,2,3",16,4,4017876,azathoth,0.06640625,15.8828125,60,36,36,0.4979126453399658,0.821364164352417,35.543307304382324,44.36391615867615,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,96877,300196,10368,10368,-20822.96292264059,-20822.96292264059,1,85461,-20822.96292264,-20822.96292264,0.0,-20822.962922843817,-42842.67968752154,5866.961449938229,16271.318403484289,279.1854899853126,308.98763537919234,-29.802145393879755,88.76094335090913,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc60_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc60_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,110,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc110_15min_same_ren,5,"20,21,22,23",16,4,4017882,azathoth,0.06640625,17.89453125,110,46,46,0.8280789852142334,0.3963158130645752,34.850152015686035,46.867403507232666,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,123787,396428,13248,13248,-22273.824603720805,-22273.824603720386,1,101893,-22273.82460372,-22273.82460372,0.0,-22273.824603720917,-38264.290582806825,5911.619617521384,10250.565766073827,212.1212630558761,292.58256651207364,-80.46130345619753,91.25810105301088,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc110_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc110_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,80,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc80_15min_same_ren,2,"8,9,10,11",16,4,4017884,azathoth,0.06640625,17.89453125,80,39,39,0.5779194831848145,0.6106343269348145,33.943806886672974,48.23587203025818,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,104950,339290,11232,11232,-20698.985488162936,-20698.959776915184,1,80359,-20698.98548816,-20698.95977692,0.0001,-20698.985488162572,-41573.97458226713,6068.563628095005,14959.01634760531,325.48877165775343,388.1638383422386,-62.67506668448516,89.91581491150144,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc80_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc80_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,70,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc70_15min_same_ren,1,"4,5,6,7",16,4,4017881,azathoth,0.06640625,19.5849609375,70,38,38,0.5166666507720947,0.8517110347747803,41.73777174949646,51.229472637176514,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,102259,327028,10944,10944,-21773.894036054226,-21773.893275477687,1,80141,-21773.89403605,-21773.89327548,0.0,-21773.894036054186,-36699.73451817765,5668.916943463724,9569.3052011841,289.0166705928975,510.8214465507617,-221.8047759578642,90.57688656653116,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc70_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc70_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,120,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc120_15min_same_ren,6,"24,25,26,27",16,4,4017889,azathoth,0.06640625,22.10302734375,120,51,51,0.8652887344360352,0.4256782531738281,47.6343789100647,60.97961401939392,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,137242,470186,14688,14688,-21767.67884735527,-21767.628153255122,1,106979,-21767.67884736,-21767.62815326,0.0002,-21767.67884735505,-34997.22965991902,6542.602486677146,6869.466612198597,226.69018658940846,320.35082044397745,-93.660633854569,88.85765245711103,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc120_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc120_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,130,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc130_15min_same_ren,7,"28,29,30,31",16,4,4017885,azathoth,0.06640625,22.10302734375,130,52,52,0.9230008125305176,0.43835926055908203,48.923125982284546,62.771146059036255,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,139933,481136,14976,14976,-21673.7269858816,-21673.726985881458,1,108502,-21673.72698588,-21673.72698588,0.0,-21673.726987104255,-33289.83851005094,6563.8955058021875,5246.370618753755,201.2942114385695,307.4178592849879,-106.12364784641841,88.03095376291733,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc130_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc130_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,160,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_HG/FTC_20251031_20251130_c31_sc160_15min_same_ren,10,"40,41,42,43",16,4,4017886,azathoth,0.06640625,23.21630859375,160,59,59,1.1235551834106445,1.362452507019043,51.390968799591064,67.2743034362793,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,158770,580442,16992,16992,-21518.68762605192,-21505.408782546412,1,117484,-21518.68762605,-21505.40878255,0.0617,-21518.68762605199,-38284.40701779627,6037.262400914648,10889.668662999937,159.4399558612607,230.3491204492121,-70.90916458795141,90.30250758218531,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc160_15min_same_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/HG/results/FTC_20251031_20251130_c31_sc160_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
