#erel:= 0.850;
#emax:= 2600.579;
#q:= 0.000;
#nesce:=    10;
#etime:= 0.041;
#snodes:=   234;
param nS:=    10;
param nSG:=    34;
param nRVSG [*] :=
 1 24    5  2    9  2   13  2   17  2   21  9   25  2   29  2   33  2
 2 24    6  2   10  2   14  2   18  2   22  2   26  2   30  2   34 24
 3 24    7 20   11 17   15  2   19  2   23  2   27  2   31  2
 4 24    8  2   12  2   16 13   20  2   24  2   28  4   32  2
;

param ScenF [*] :=
  1  40.2073      59 107.108      117  58.646      175  40.7328
  2  58.9108      60 113.31       118  65.9341     176  34.1875
  3  55.6328      61 102.124      119  73.0283     177  42.3614
  4  47.7445      62  89.3999     120  71.1751     178  66.8585
  5  40.1559      63  69.5633     121   0.297626   179  81.2304
  6  39.6778      64  64.9418     122   0          180  82.5661
  7  47.7182      65  62.0658     123   0.270788   181  54.5876
  8  57.5087      66  62.4974     124   0          182   0.369114
  9  76.8123      67  65.0752     125   0.274263   183   0.2512
 10  73.4954      68  79.4123     126   0          184   0.356072
 11  47.5915      69  77.7772     127  18.6389     185   0.1926
 12  41.2135      70  73.6151     128  36.3115     186   0.367809
 13  37.3447      71  65.7332     129  38.8371     187   0.1048
 14  35.6966      72  68.0726     130  38.6502     188   0.389401
 15  35.4908      73  33.3238     131  57.215      189   0.0001
 16  34.2694      74  56.7474     132  66.1076     190   0.392346
 17  40.5291      75  50.8809     133  54.6899     191   0
 18  52.2224      76  41.3645     134  42.8814     192   0.368221
 19  78.2913      77  28.6846     135  41.4533     193   0
 20 105.821       78  39.0409     136  38.7141     194 105.919
 21 115.726       79  58.1809     137  33.508      195  95.2097
 22 107.426       80  70.5815     138  28.2512     196  87.0065
 23 102.315       81  95.7266     139  31.6448     197  78.3066
 24  88.2292      82  97.1668     140  47.8651     198   0.340118
 25   7.83821     83 105.134      141  59.4641     199   0
 26   9.27953     84 114.921      142  66.1911     200   0.31587
 27  12.9579      85 108.039      143  45.2179     201   0
 28  15.7185      86 100.842      144   0.284646   202   0.26667
 29  18.3704      87  91.0581     145   0          203   0
 30  17.6993      88  84.2242     146   0.309994   204   0.265949
 31  20.3062      89  86.619      147   0          205   0
 32  12.0349      90  86.804      148   0.376833   206   0.316495
 33   6.53903     91 101.039      149   0.0002     207   0
 34  24.5028      92 114.853      150   0.42682    208   0
 35  39.6412      93 123.278      151   0.089      209   0.804929
 36  38.0982      94 109.47       152  71.807      210 207.275
 37  38.5169      95  97.2758     153  89.7723     211   0
 38  36.8205      96  91.8747     154  81.0816     212   0
 39  31.7279      97   0.327719   155  66.8399     213   0
 40  31.689       98   0          156  57.7414     214   0
 41  40.1151      99   0.32977    157  58.2214     215   0
 42  37.489      100   0          158  57.1938     216   0.881969
 43  30.1514     101  51.2101     159  56.2789     217   5.61166
 44   8.70625    102  67.7729     160  52.3207     218   0
 45   8.61512    103  67.2976     161  63.2475     219   0
 46   7.88372    104  67.0497     162  89.896      220   5.30509
 47   7.45415    105  64.235      163  95.9298     221  42.3436
 48   8.263      106  65.5654     164  80.7001     222   0.31109
 49  38.3722     107  64.3145     165   0.433928   223   0
 50  59.177      108  65.3246     166   0.1787     224 549.487
 51  46.9593     109  88.3829     167   0.427063   225  20.5733
 52  38.8685     110  94.1913     168   0.2358     226   0
 53  35.0432     111  87.0084     169   0.404359   227   0
 54  42.7708     112  79.8112     170   0.2619     228   0.673878
 55  57.1592     113  77.2385     171   0.385236   229   2.13413
 56  63.4174     114  77.485      172   0.2683     230   1.31434
 57  84.8986     115  67.5666     173  42.4455     231   2.52604
 58  92.729      116  61.2577     174  43.9169
;

param ScenO [*] :=
  1  85.57        59  83          117  60.21       175  62
  2  86.04        60  64          118  64          176  56
  3  82.85        61  61.12       119  88.55       177  58.14
  4  80           62  61          120  94.34       178  80.48
  5  76.44        63  57.98       121   0.444      179  90
  6  75.16        64  57.23       122   0          180  96.93
  7  78.97        65  58.47       123   0.496      181  90.21
  8  83           66  66.03       124   0          182   0.16
  9  90.98        67  85.56       125   0.523      183   0.605
 10  90           68  92          126   0          184   0.22
 11  76.44        69  92.93       127  84          185   0.461
 12  58           70  92.18       128  55.16       186   0.252
 13  54.12        71  91.1        129  53.78       187   0.256
 14  54           72  89.89       130  73          188   0.278
 15  50.98        73  83          131  99.84       189   0.005
 16  50.24        74  75.54       132 100.99       190   0.213
 17  51.47        75  72.12       133  84.08       191   0
 18  58.15        76  69.87       134  66.7        192   0.127
 19  80.5         77  66.05       135  62.23       193   0
 20  90           78  68.2        136  64          194  91.86
 21  90.93        79  69.87       137  58.62       195  88.8
 22  90.3         80  80          138  57.77       196  79.99
 23  88.36        81  91.59       139  56.62       197  71.56
 24  82.89        82  94.34       140  60.25       198   0.169
 25  14.64        83  84.44       141  81.5        199   0
 26  11.72        84  78.89       142  90          200   0.17
 27  31.16        85  60.26       143  91.93       201   0
 28  21.52        86  61.7        144   0.55       202   0.133
 29  39           87  60          145   0          203   0
 30  39           88  62.23       146   0.574      204   0.111
 31  39           89  60          147   0          205   0
 32  14.4         90  66.87       148   0.56       206   0.135
 33  14.56        91  82.5        149   0.052      207   0
 34  39           92  90.11       150   0.454      208   0.247634
 35  22.72        93  91.53       151   0.323      209   0.30881
 36  55.52        94  90.41       152 106.53       210   0.400121
 37  45.04        95  90.46       153 120          211   0.458625
 38  55.84        96  82.89       154  85.99       212   0.424647
 39  49.2         97   0.343      155  69.6        213   0.56852
 40  49.12        98   0          156  64.94       214   0.048246
 41  49.68        99   0.38       157  64          215   0.094699
 42  59.32       100   0          158  60.21       216   0.387228
 43  30.84       101  84          159  60.29       217   0.583
 44  37.28       102  74          160  56.62       218   0.15607
 45  30.12       103  69.12       161  58.15       219   0.292586
 46  29.8        104  64.3        162  76.5        220   0.404102
 47  19.36       105  60.95       163  86.45       221   1.51352
 48  17.28       106  65.11       164  93.43       222   0.925461
 49  83.57       107  65.11       165   0.367      223   0.75418
 50  81          108  78          166   0.52       224   0
 51  77.02       109  93.98       167   0.295      225  -0.05761
 52  75          110 103.5        168   0.636      226   0.172174
 53  71.44       111  86.44       169   0.22       227   0.684778
 54  70.66       112  72.62       170   0.685      228   0.701639
 55  75.05       113  62.23       171   0.148      229   0.621816
 56  81.5        114  64          172   0.675      230   0.310321
 57  90.98       115  60.21       173  75          231   0.093256
 58  92          116  63.99       174  64.9
