#erel:= 0.850;
#emax:= 2553.763;
#q:= 0.000;
#nesce:=    10;
#etime:= 0.042;
#snodes:=   227;
param nS:=    10;
param nSG:=    34;
param nRVSG [*] :=
 1 24    5  2    9  2   13  2   17  2   21  9   25  2   29  2   33  2
 2 24    6  2   10  2   14  2   18  2   22  2   26  2   30  2   34 24
 3 24    7 20   11 17   15  2   19  2   23  2   27  2   31  2
 4 24    8  2   12  2   16 13   20  2   24  2   28  4   32  2
;

param ScenF [*] :=
  1  64.7764       59  73.8628      117  77.2383      175  63.5138
  2  90.1795       60  65.9763      118  74.732       176  58.4147
  3  78.7757       61  58.7015      119  72.7457      177  53.7472
  4  70.0035       62  55.0624      120  67.073       178  67.006
  5  66.4836       63  45.3909      121   0.0777541   179  80.9433
  6  67.5892       64  37.7458      122   0           180  92.5257
  7  71.0463       65  34.5996      123   0.0991157   181  68.0023
  8  75.2879       66  42.2849      124   0           182   0.16154
  9  96.684        67  64.7877      125   0.15777     183   0.606
 10 101.251        68  88.3076      126   0           184   0.127586
 11  70.522        69  84.073       127  54.4152      185   0.4686
 12  55.412        70  76.5997      128  78.1146      186   0.115555
 13  46.2673       71  74.2042      129  74.2394      187   0.2455
 14  44.7245       72  72.3128      130  61.8541      188   0.109433
 15  36.7065       73  67.5488      131  72.7642      189   0.004
 16  20.4146       74  90.7999      132  77.5665      190   0.0826735
 17  18.6302       75  81.7721      133  72.0711      191   0
 18  31.0189       76  72.5807      134  64.5651      192   0.0462748
 19  70.2203       77  62.5074      135  65.3746      193   0
 20 107.114        78  69.3248      136  57.9487      194 118.615
 21 109.679        79  77.2055      137  52.3271      195 107.903
 22  96.2961       80  84.3305      138  48.6842      196  97.8085
 23  97.8812       81  95.07        139  48.4584      197  79.0765
 24  95.2099       82  86.5091      140  59.3656      198   0.0623078
 25  13.9333       83  74.3971      141  66.9846      199   0
 26  18.4217       84  76.2779      142  70.6632      200   0.163187
 27  26.2782       85  74.1434      143  50.9078      201   0
 28  28.0504       86  74.8573      144   0.228279    202   0.248134
 29  30.1706       87  72.3345      145   0           203   0
 30  30.095        88  65.6533      146   0.284262    204   0.293258
 31  33.2415       89  70.8551      147   0           205   0
 32  23.3745       90  73.954       148   0.330683    206   0.33789
 33  21.9249       91  85.375       149   0.0454      207   0
 34  32.9915       92  94.2775      150   0.358063    208   0.347505
 35  43.9423       93  92.9009      151   0.3244      209   1.4646
 36  52.2805       94  87.7291      152  60.9628      210   0
 37  54.9083       95  84.2495      153  82.0384      211   1.57143
 38  49.0086       96  79.0713      154  67.4752      212   0
 39  41.3044       97   0.0474298   155  57.6795      213   0
 40  36.7451       98   0           156  53.4287      214   0
 41  35.4667       99   0.0786292   157  54.0726      215   7.00002
 42  29.5507      100   0           158  54.2003      216   0.364226
 43  35.4768      101  50.8283      159  54.8265      217   0
 44  10.6399      102  67.8917      160  54.5174      218   2.87348
 45  14.4383      103  64.2169      161  56.8694      219   3.66696
 46  15.2724      104  62.7823      162  66.1102      220   2.78731
 47  18.1782      105  62.9713      163  71.6871      221   2.60376
 48  15.2741      106  62.814       164  62.3156      222   1.24028
 49  60.9144      107  63.5052      165   0.342053    223   0
 50  91.031       108  67.351       166   0.522       224 204.562
 51  80.4997      109  88.8314      167   0.301707    225  12.2703
 52  73.2563      110  91.4238      168   0.638       226   2.29801
 53  67.0829      111  85.8864      169   0.252519    227   0.412319
 54  68.8796      112  81.3816      170   0.6865      228   0.392373
 55  66.9378      113  78.6418      171   0.204908    229   0.861463
 56  62.5772      114  84.0466      172   0.676       230   0.570975
 57  84.346       115  80.5102      173  58.86        231   0.818529
 58  89.0053      116  77.9015      174  63.3769
;

param ScenO [*] :=
  1  94.78        59  96          117  65          175  61
  2  78           60  83          118  79.75       176  60
  3  75           61  74.8        119  95.01       177  80
  4  58.59        62  65.99       120 109.56       178  98.4
  5  54.1         63  64.48       121   0.028      179 115.14
  6  50.18        64  65.89       122   0          180 121.49
  7  53.4         65  67.24       123   0.035      181 122.53
  8  65.1         66  79          124   0          182   0.06
  9  80.2         67  88          125   0.032      183   0.619
 10  91.75        68 109.03       126   0          184   0.049
 11  87           69 109.49       127  86.07       185   0.48
 12  76           70 120.43       128  75.01       186   0.047
 13  68           71 118.38       129  78.95       187   0.255
 14  64.39        72 105          130  72.06       188   0.061
 15  62.98        73  91          131  88.22       189   0.005
 16  64.39        74  85.77       132 102.75       190   0.054
 17  65.64        75  83.11       133 105.08       191   0
 18  74           76  70.59       134  87.41       192   0.036
 19  82           77  70.09       135  73.99       193   0
 20 109.18        78  66.17       136  70          194 140.03
 21 111.49        79  69.39       137  65.98       195 136.93
 22 121.53        80  71.1        138  68          196 110
 23 120.38        81  90.77       139  64.99       197 100.78
 24 105           82 101.75       140  78          198   0.027
 25  20.36        83  99.01       141  92.54       199   0
 26  16.4         84  83.84       142 109.7        200   0.025
 27  16.2         85  73          143 112.76       201   0
 28  32           86  68.04       144   0.029      202   0.023
 29  40.4         87  65.23       145   0          203   0
 30  37.12        88  66.48       146   0.032      204   0.02
 31  39.28        89  70.07       147   0          205   0
 32  30.8         90  77.01       148   0.039      206   0.019
 33  10           91  86          149   0.05       207   0
 34  10.4         92 107.09       150   0.043      208   0.904832
 35   7           93 109.26       151   0.339      209   0.900641
 36  10.48        94 116.53       152  93.83       210   0.858267
 37  40.32        95 115.38       153 110.1        211   1.68612
 38  38.56        96 104.74       154 109.99       212   1.6549
 39  37.8         97   0.014      155  90.89       213   1.7786
 40  36.16        98   0          156  76.88       214   1.70037
 41  44           99   0.021      157  70.19       215   0.960061
 42  37.16       100   0          158  68.65       216   0.7601
 43  18.88       101  91.17       159  70.19       217   0.77515
 44   5.28       102  87.77       160  65.11       218   0.72908
 45   5.2        103  85.77       161  77          219   0.885132
 46   5.28       104  70.77       162  96.88       220   1.53735
 47   7.68       105  75.01       163 110.45       221   1.63146
 48   8          106  63.18       164 112          222   1.77485
 49  92          107  66.4        165   0.051      223   1.74546
 50  85.95       108  70.96       166   0.538      224   1.60512
 51  86.11       109  90.77       167   0.038      225   0.739324
 52  77.09       110 106.75       168   0.653      226   0.805732
 53  65.21       111 105.01       169   0.054      227   0.753984
 54  60.18       112  87.77       170   0.702      228   0.686609
 55  63.4        113  73.7        171   0.063      229   0.613346
 56  78.6        114  68.01       172   0.69       230   0.593869
 57  90.2        115  62.98       173  65          231   0.59781
 58 100.75       116  65          174  66.96
;

param Scen0 (tr)
