ren_type,branch,num_scenarios_folder,scenario_dir,lane,pinned_cores,concurrency_lanes,threads_per_solve,pid,hostname,loadavg_1min_start,loadavg_1min_end,num_scenarios_original,num_scenarios_reduced,num_scenarios_in_model,preprocess_time_s,build_instance_time_s,solve_time_s,wall_time_total_s,solver_status,termination_condition,solver_message,solver_wallclock_time_s,num_variables,num_constraints,num_binary_vars,num_integer_vars,lower_bound,upper_bound,gurobi_nodes_explored,gurobi_simplex_iterations,gurobi_best_objective,gurobi_best_bound,gurobi_gap_pct,obj_fun,obj_DA_income,obj_RM_income,obj_IM_income,obj_IB_income,obj_IB_costs,obj_IB_net,obj_FD_costs,results_dir,solver_log_path,status,error,traceback
dif_ren,15min_different_ren,50,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc50_15min_different_ren,0,"0,1,2,3",13,4,4002100,azathoth,0.0087890625,47.5068359375,50,46,46,0.524836540222168,1.1077759265899658,405.70199275016785,415.34579944610596,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,123741,454089,13248,13248,-28014.412301343265,-27734.342777504753,1,200267,-28014.41230134,-27734.3427775,0.9997,-28014.412301344084,-38875.79882196951,5681.298794457082,5396.382582336656,490.33316357008204,610.3474047142129,-120.01424114413084,96.28061502366243,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc50_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc50_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,60,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc60_15min_different_ren,1,"4,5,6,7",13,4,4002103,azathoth,0.0087890625,40.57275390625,60,51,51,0.5929937362670898,1.223940372467041,755.6342086791992,766.2889008522034,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,137191,534494,14688,14688,-26373.884074473226,-26110.452071857828,1,207221,-26373.88407447,-26110.45207186,0.9988,-26373.88407447407,-45442.736490658615,6093.082217652766,13251.90789466207,349.8625699963476,531.2877084256367,-181.42513842928906,94.71255769999874,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc60_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc60_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,90,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc90_15min_different_ren,4,"16,17,18,19",13,4,4002106,azathoth,0.0087890625,35.0693359375,90,76,76,0.9123601913452148,0.6771032810211182,890.6782333850861,906.7943577766418,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,204441,937437,21888,21888,-27572.058570853307,-27298.739938007562,1,405996,-27572.05857085,-27298.73993801,0.9913,-27572.058570853504,-41246.370517513205,5634.999881866824,8374.651977746073,281.86030375177023,526.7752774318425,-244.91497368007225,90.42493927233862,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc90_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc90_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,80,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc80_15min_different_ren,3,"12,13,14,15",13,4,4002111,azathoth,0.0087890625,34.21435546875,80,70,70,0.7717287540435791,0.6273047924041748,919.884313583374,939.4670059680939,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,188301,913643,20160,20160,-28684.229013264747,-28397.54733502691,1,419591,-28684.22901326,-28397.54733503,0.9994,-28684.22901326492,-37244.12822250748,5102.478271230053,3781.175778134236,391.26539180117487,619.6909048923837,-228.42551309120887,95.32932703125059,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc80_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc80_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,70,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc70_15min_different_ren,2,"8,9,10,11",13,4,4002104,azathoth,0.0087890625,36.6513671875,70,55,55,0.6406834125518799,0.500758171081543,836.4610214233398,848.0742230415344,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,147951,589346,15840,15840,-27610.975793462436,-27336.040306818326,1,275053,-27610.97579346,-27336.04030682,0.9957,-27610.975793462225,-39873.71812602987,7079.5915520475355,5488.730740657947,400.18162301356824,616.4344146751927,-216.25279166162443,89.32716847619115,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc70_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc70_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,100,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc100_15min_different_ren,5,"20,21,22,23",13,4,4002107,azathoth,0.0087890625,29.08203125,100,88,88,1.0006022453308105,0.7640438079833984,1959.5461390018463,1978.3671910762787,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,236721,1233539,25344,25344,-25736.921226084836,-25480.11456368894,1,608027,-25736.92122608,-25480.11456369,0.9978,-25736.92122608499,-33115.32056098816,6233.837561745298,1556.7132218372521,440.16670512767803,755.4992673529107,-315.33256222523266,96.81888645422244,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc100_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc100_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,110,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc110_15min_different_ren,6,"24,25,26,27",13,4,4002109,azathoth,0.0087890625,19.517578125,110,98,98,1.026155948638916,0.8945345878601074,2966.521684885025,2988.3604323863983,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,263621,1522637,28224,28224,-29339.980908336624,-29046.67724813571,1,719811,-29339.98090834,-29046.67724814,0.9997,-29339.98090833568,-35058.77730654851,5395.976245692745,711.3131621328821,358.86641526716835,652.4287196345956,-293.56230436742726,94.93070524518369,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc110_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc110_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,130,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc130_15min_different_ren,8,"32,33,34,35",13,4,4002112,azathoth,0.0087890625,18.3349609375,130,108,108,1.3031692504882812,0.9735550880432129,3376.5423119068146,3401.1295216083527,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,290521,1696651,31104,31104,-27595.138131694803,-27335.678951658978,1,759220,-27595.13813169,-27335.67895166,0.9402,-27595.138131694133,-39650.629735786715,5833.744970577713,6537.124669822537,468.398832439796,693.0803173151935,-224.68148487539747,90.69655143274338,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc130_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc130_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,120,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc120_15min_different_ren,7,"28,29,30,31",13,4,4002110,azathoth,0.0087890625,17.23193359375,120,108,108,1.168788194656372,0.9637060165405273,3638.8852801322937,3663.4788744449615,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,290521,1751542,31104,31104,-26271.740485026232,-26010.885042211772,1,823762,-26271.74048503,-26010.88504221,0.9929,-26271.740485026512,-33048.576617930536,5956.341745171615,1101.7347704237789,384.3704254997295,573.2852987650152,-188.91487326528573,92.32550942592349,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc120_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc120_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,140,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc140_15min_different_ren,9,"36,37,38,39",13,4,4002113,azathoth,0.0087890625,6.26220703125,140,122,122,1.4099981784820557,1.1104075908660889,6577.978552341461,6606.015751123428,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,328181,2195163,35136,35136,-28158.10298673679,-27876.614955352135,1,1086865,-28158.10298674,-27876.61495535,0.9997,-28158.10298673557,-34324.224728733796,5064.693290940788,1402.2159064813532,442.767429322054,652.932205011931,-210.16477568987705,90.6226797346994,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc140_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc140_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
