ren_type,branch,num_scenarios_folder,scenario_dir,lane,pinned_cores,concurrency_lanes,threads_per_solve,pid,hostname,loadavg_1min_start,loadavg_1min_end,num_scenarios_original,num_scenarios_reduced,num_scenarios_in_model,preprocess_time_s,build_instance_time_s,solve_time_s,wall_time_total_s,solver_status,termination_condition,solver_message,solver_wallclock_time_s,num_variables,num_constraints,num_binary_vars,num_integer_vars,lower_bound,upper_bound,gurobi_nodes_explored,gurobi_simplex_iterations,gurobi_best_objective,gurobi_best_bound,gurobi_gap_pct,obj_fun,obj_DA_income,obj_RM_income,obj_IM_income,obj_IB_income,obj_IB_costs,obj_IB_net,obj_FD_costs,results_dir,solver_log_path,status,error,traceback
same_ren,15min_ren_same,50,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_same_ren/FTC_20251031_20251130_c30_sc50_15min_same_ren,0,"0,1,2,3",1,4,3861844,azathoth,0.23681640625,1.25537109375,50,29,29,0.41309094429016113,0.22511887550354004,15.444313526153564,24.88268256187439,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,78040,209518,8352,8352,-39356.50219978979,-39356.50219978979,1,60083,-39356.50219979,-39356.50219979,0.0,-39356.50219978952,-51571.13036711335,4726.649071531625,8238.79534307646,202.68449182861656,845.1337144727768,-642.4492226441603,108.36702463999899,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc50_15min_same_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc50_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,70,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_same_ren/FTC_20251031_20251130_c30_sc70_15min_same_ren,1,"4,5,6,7",16,4,3861960,azathoth,0.6220703125,4.10302734375,70,20,20,0.49518394470214844,0.49166226387023926,7.474443435668945,14.372080326080322,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,53821,126560,5760,5760,-39225.13089333908,-39225.12116798704,1,36696,-39225.13089334,-39225.12116799,0.0,-39225.13089333902,-51189.101866053876,4996.200975508697,7376.884832234465,168.96138591458032,466.8725933919046,-297.9112074773243,111.20362755102195,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc70_15min_same_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc70_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,60,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_same_ren/FTC_20251031_20251130_c30_sc60_15min_same_ren,0,"0,1,2,3",16,4,3861957,azathoth,0.6220703125,6.4677734375,60,29,29,0.45171642303466797,0.2373487949371338,16.539571046829224,24.093160152435303,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,78040,216734,8352,8352,-38610.48879001445,-38610.488790013704,1,61734,-38610.48879001,-38610.48879001,0.0,-38610.488793648416,-48051.98602260449,6280.280555500786,3516.503272765079,156.9228825115487,403.8486607514378,-246.92577823988913,108.36082106984955,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc60_15min_same_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc60_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,100,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_same_ren/FTC_20251031_20251130_c30_sc100_15min_same_ren,5,"20,21,22,23",16,4,3861974,azathoth,0.6220703125,7.3115234375,100,39,39,0.7156040668487549,0.3393542766571045,20.69131851196289,31.045414924621582,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,104950,312770,11232,11232,-39359.73241857267,-39359.73241857267,1,73662,-39359.73241857,-39359.73241857,0.0,-39359.73241857275,-49723.20635927511,5045.961212859674,5729.021018009892,84.65505027421983,388.92092262133787,-304.26587234711803,107.24241782000011,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc100_15min_same_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc100_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,90,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_same_ren/FTC_20251031_20251130_c30_sc90_15min_same_ren,3,"12,13,14,15",16,4,3861961,azathoth,0.6220703125,17.7958984375,90,50,50,0.665414571762085,0.8057811260223389,45.28465008735657,57.18435978889465,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,134551,472880,14400,14400,-38745.464798642555,-38745.442882137926,1,109577,-38745.46479864,-38745.44288214,0.0001,-38745.46479841541,-53491.13625857061,6498.548815994817,8688.076403268029,281.82635394578733,614.8154074715869,-332.9890535257996,107.96470558180944,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc90_15min_same_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc90_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,130,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_same_ren/FTC_20251031_20251130_c30_sc130_15min_same_ren,7,"28,29,30,31",16,4,3861963,azathoth,0.6220703125,19.734375,130,54,54,0.8964066505432129,0.4492228031158447,43.72254991531372,57.84123969078064,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,145315,551932,15552,15552,-37738.076142752805,-37738.06373552013,1,101283,-37738.07614275,-37738.06373552,0.0,-37738.07614275298,-47988.55218280997,6659.75309283611,3907.4103941256094,100.7603117300718,311.8310917706928,-211.070780040621,105.61666686390208,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc130_15min_same_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc130_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,160,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_same_ren/FTC_20251031_20251130_c30_sc160_15min_same_ren,10,"40,41,42,43",16,4,3861967,azathoth,0.6220703125,19.734375,160,56,56,1.098358154296875,0.5070369243621826,46.16504240036011,61.733537673950195,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,150697,554380,16128,16128,-38178.76439083811,-38178.76439083811,1,108624,-38178.76439084,-38178.76439084,0.0,-38178.76439141442,-52212.85429857564,6537.956063181323,7955.749432255035,138.08779884090217,493.62655138655106,-355.5387525456489,104.07683572947602,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc160_15min_same_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc160_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,110,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_same_ren/FTC_20251031_20251130_c30_sc110_15min_same_ren,4,"16,17,18,19",16,4,3861970,azathoth,0.6220703125,21.4375,110,55,55,0.7965822219848633,0.8548557758331299,50.69088077545166,64.06921315193176,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,148006,555322,15840,15840,-38411.129176967115,-38411.129176967115,1,108571,-38411.12917697,-38411.12917697,0.0,-38411.129176966904,-54072.0088072421,6007.919719532222,10053.92686029853,154.0456979339517,446.6062217046251,-292.5605237706734,108.40642578512183,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc110_15min_same_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc110_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,210,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_same_ren/FTC_20251031_20251130_c30_sc210_15min_same_ren,15,"60,61,62,63",16,4,3861972,azathoth,0.6220703125,21.4375,210,57,57,1.416558027267456,0.5667610168457031,47.84047293663025,65.49749374389648,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,153388,542422,16416,16416,-38633.09638435162,-38633.09638435162,1,105189,-38633.09638435,-38633.09638435,0.0,-38633.09638545425,-44185.853000302995,5856.476283983085,111.97102937860409,62.78945345949133,371.66939348996243,-308.8799400304711,106.81075848255718,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc210_15min_same_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc210_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
same_ren,15min_ren_same,80,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_same_ren/FTC_20251031_20251130_c30_sc80_15min_same_ren,2,"8,9,10,11",16,4,3861962,azathoth,0.6220703125,24.2919921875,80,54,54,0.620593786239624,1.2439303398132324,62.55034279823303,74.5507423877716,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,145315,535896,15552,15552,-37592.00164819173,-37591.957756062184,1,119866,-37592.00164819,-37591.95775606,0.0001,-37592.001648191515,-46506.40612451065,6142.753905520559,3279.938509412813,229.98598206070173,631.4994000962963,-401.51341803559455,106.77452057849959,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc80_15min_same_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc80_15min_same_ren/DA/ec/001/solver_log.txt,ok,,
