ren_type,branch,num_scenarios_folder,scenario_dir,lane,pinned_cores,concurrency_lanes,threads_per_solve,pid,hostname,static_time_s,vssd_time_s,wall_time_total_s,rp_value,ev_value,vss_2,vss_6,excluded_weight_static_6,edev_6,vssd,vssd_6,excluded_weight_dynamic_6,vssd2_recourse,excluded_weight_dynamic2_recourse,propositions_valid,status,error,traceback
dif_ren,15min_different_ren,50,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc50_15min_different_ren,0,"0,1,2,3",16,4,104407,azathoth,,,21.10917043685913,,,,,,,,,,,,,error,ApplicationError: Solver (gurobi) did not exit normally,"Traceback (most recent call last):
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/batch_run_vss.py"", line 122, in _run_one
    static_result = compute_static_chain(""001"")
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_static_vss.py"", line 89, in compute_static_chain
    rp_instance, rp_scenario_data, abstract_model, sim_ctx = solve_rp(sim)
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_vssd.py"", line 73, in solve_rp
    Solver(instance_wrapper, sim_ctx).solve()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 107, in solve
    self._solve_model()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 95, in _solve_model
    self.results = solver.solve(instance, tee=True, symbolic_solver_labels=True)  # Solve and print log
  File ""/users/delfos/aina/mmobec-pyomo/venv/lib/python3.10/site-packages/pyomo/opt/base/solvers.py"", line 657, in solve
    raise ApplicationError(""Solver (%s) did not exit normally"" % self.name)
pyomo.common.errors.ApplicationError: Solver (gurobi) did not exit normally
"
dif_ren,15min_different_ren,60,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc60_15min_different_ren,1,"4,5,6,7",16,4,104411,azathoth,,,23.792869567871094,,,,,,,,,,,,,error,ApplicationError: Solver (gurobi) did not exit normally,"Traceback (most recent call last):
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/batch_run_vss.py"", line 122, in _run_one
    static_result = compute_static_chain(""001"")
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_static_vss.py"", line 89, in compute_static_chain
    rp_instance, rp_scenario_data, abstract_model, sim_ctx = solve_rp(sim)
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_vssd.py"", line 73, in solve_rp
    Solver(instance_wrapper, sim_ctx).solve()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 107, in solve
    self._solve_model()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 95, in _solve_model
    self.results = solver.solve(instance, tee=True, symbolic_solver_labels=True)  # Solve and print log
  File ""/users/delfos/aina/mmobec-pyomo/venv/lib/python3.10/site-packages/pyomo/opt/base/solvers.py"", line 657, in solve
    raise ApplicationError(""Solver (%s) did not exit normally"" % self.name)
pyomo.common.errors.ApplicationError: Solver (gurobi) did not exit normally
"
dif_ren,15min_different_ren,70,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc70_15min_different_ren,2,"8,9,10,11",16,4,104412,azathoth,,,28.862738132476807,,,,,,,,,,,,,error,ApplicationError: Solver (gurobi) did not exit normally,"Traceback (most recent call last):
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/batch_run_vss.py"", line 122, in _run_one
    static_result = compute_static_chain(""001"")
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_static_vss.py"", line 89, in compute_static_chain
    rp_instance, rp_scenario_data, abstract_model, sim_ctx = solve_rp(sim)
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_vssd.py"", line 73, in solve_rp
    Solver(instance_wrapper, sim_ctx).solve()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 107, in solve
    self._solve_model()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 95, in _solve_model
    self.results = solver.solve(instance, tee=True, symbolic_solver_labels=True)  # Solve and print log
  File ""/users/delfos/aina/mmobec-pyomo/venv/lib/python3.10/site-packages/pyomo/opt/base/solvers.py"", line 657, in solve
    raise ApplicationError(""Solver (%s) did not exit normally"" % self.name)
pyomo.common.errors.ApplicationError: Solver (gurobi) did not exit normally
"
dif_ren,15min_different_ren,80,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc80_15min_different_ren,3,"12,13,14,15",16,4,104418,azathoth,,,39.71894192695618,,,,,,,,,,,,,error,ApplicationError: Solver (gurobi) did not exit normally,"Traceback (most recent call last):
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/batch_run_vss.py"", line 122, in _run_one
    static_result = compute_static_chain(""001"")
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_static_vss.py"", line 89, in compute_static_chain
    rp_instance, rp_scenario_data, abstract_model, sim_ctx = solve_rp(sim)
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_vssd.py"", line 73, in solve_rp
    Solver(instance_wrapper, sim_ctx).solve()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 107, in solve
    self._solve_model()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 95, in _solve_model
    self.results = solver.solve(instance, tee=True, symbolic_solver_labels=True)  # Solve and print log
  File ""/users/delfos/aina/mmobec-pyomo/venv/lib/python3.10/site-packages/pyomo/opt/base/solvers.py"", line 657, in solve
    raise ApplicationError(""Solver (%s) did not exit normally"" % self.name)
pyomo.common.errors.ApplicationError: Solver (gurobi) did not exit normally
"
dif_ren,15min_different_ren,90,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc90_15min_different_ren,4,"16,17,18,19",16,4,104415,azathoth,,,47.49831557273865,,,,,,,,,,,,,error,ApplicationError: Solver (gurobi) did not exit normally,"Traceback (most recent call last):
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/batch_run_vss.py"", line 122, in _run_one
    static_result = compute_static_chain(""001"")
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_static_vss.py"", line 89, in compute_static_chain
    rp_instance, rp_scenario_data, abstract_model, sim_ctx = solve_rp(sim)
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_vssd.py"", line 73, in solve_rp
    Solver(instance_wrapper, sim_ctx).solve()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 107, in solve
    self._solve_model()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 95, in _solve_model
    self.results = solver.solve(instance, tee=True, symbolic_solver_labels=True)  # Solve and print log
  File ""/users/delfos/aina/mmobec-pyomo/venv/lib/python3.10/site-packages/pyomo/opt/base/solvers.py"", line 657, in solve
    raise ApplicationError(""Solver (%s) did not exit normally"" % self.name)
pyomo.common.errors.ApplicationError: Solver (gurobi) did not exit normally
"
dif_ren,15min_different_ren,110,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc110_15min_different_ren,6,"24,25,26,27",16,4,104413,azathoth,,,49.26297974586487,,,,,,,,,,,,,error,ApplicationError: Solver (gurobi) did not exit normally,"Traceback (most recent call last):
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/batch_run_vss.py"", line 122, in _run_one
    static_result = compute_static_chain(""001"")
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_static_vss.py"", line 89, in compute_static_chain
    rp_instance, rp_scenario_data, abstract_model, sim_ctx = solve_rp(sim)
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_vssd.py"", line 73, in solve_rp
    Solver(instance_wrapper, sim_ctx).solve()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 107, in solve
    self._solve_model()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 95, in _solve_model
    self.results = solver.solve(instance, tee=True, symbolic_solver_labels=True)  # Solve and print log
  File ""/users/delfos/aina/mmobec-pyomo/venv/lib/python3.10/site-packages/pyomo/opt/base/solvers.py"", line 657, in solve
    raise ApplicationError(""Solver (%s) did not exit normally"" % self.name)
pyomo.common.errors.ApplicationError: Solver (gurobi) did not exit normally
"
dif_ren,15min_different_ren,120,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc120_15min_different_ren,7,"28,29,30,31",16,4,104417,azathoth,,,51.64281988143921,,,,,,,,,,,,,error,ApplicationError: Solver (gurobi) did not exit normally,"Traceback (most recent call last):
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/batch_run_vss.py"", line 122, in _run_one
    static_result = compute_static_chain(""001"")
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_static_vss.py"", line 89, in compute_static_chain
    rp_instance, rp_scenario_data, abstract_model, sim_ctx = solve_rp(sim)
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_vssd.py"", line 73, in solve_rp
    Solver(instance_wrapper, sim_ctx).solve()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 107, in solve
    self._solve_model()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 95, in _solve_model
    self.results = solver.solve(instance, tee=True, symbolic_solver_labels=True)  # Solve and print log
  File ""/users/delfos/aina/mmobec-pyomo/venv/lib/python3.10/site-packages/pyomo/opt/base/solvers.py"", line 657, in solve
    raise ApplicationError(""Solver (%s) did not exit normally"" % self.name)
pyomo.common.errors.ApplicationError: Solver (gurobi) did not exit normally
"
dif_ren,15min_different_ren,100,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc100_15min_different_ren,5,"20,21,22,23",16,4,104414,azathoth,,,53.24493718147278,,,,,,,,,,,,,error,ApplicationError: Solver (gurobi) did not exit normally,"Traceback (most recent call last):
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/batch_run_vss.py"", line 122, in _run_one
    static_result = compute_static_chain(""001"")
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_static_vss.py"", line 89, in compute_static_chain
    rp_instance, rp_scenario_data, abstract_model, sim_ctx = solve_rp(sim)
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_vssd.py"", line 73, in solve_rp
    Solver(instance_wrapper, sim_ctx).solve()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 107, in solve
    self._solve_model()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 95, in _solve_model
    self.results = solver.solve(instance, tee=True, symbolic_solver_labels=True)  # Solve and print log
  File ""/users/delfos/aina/mmobec-pyomo/venv/lib/python3.10/site-packages/pyomo/opt/base/solvers.py"", line 657, in solve
    raise ApplicationError(""Solver (%s) did not exit normally"" % self.name)
pyomo.common.errors.ApplicationError: Solver (gurobi) did not exit normally
"
dif_ren,15min_different_ren,130,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc130_15min_different_ren,8,"32,33,34,35",16,4,104416,azathoth,,,65.52148532867432,,,,,,,,,,,,,error,ApplicationError: Solver (gurobi) did not exit normally,"Traceback (most recent call last):
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/batch_run_vss.py"", line 122, in _run_one
    static_result = compute_static_chain(""001"")
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_static_vss.py"", line 89, in compute_static_chain
    rp_instance, rp_scenario_data, abstract_model, sim_ctx = solve_rp(sim)
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_vssd.py"", line 73, in solve_rp
    Solver(instance_wrapper, sim_ctx).solve()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 107, in solve
    self._solve_model()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 95, in _solve_model
    self.results = solver.solve(instance, tee=True, symbolic_solver_labels=True)  # Solve and print log
  File ""/users/delfos/aina/mmobec-pyomo/venv/lib/python3.10/site-packages/pyomo/opt/base/solvers.py"", line 657, in solve
    raise ApplicationError(""Solver (%s) did not exit normally"" % self.name)
pyomo.common.errors.ApplicationError: Solver (gurobi) did not exit normally
"
dif_ren,15min_different_ren,140,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc140_15min_different_ren,9,"36,37,38,39",16,4,104421,azathoth,,,74.94577646255493,,,,,,,,,,,,,error,ApplicationError: Solver (gurobi) did not exit normally,"Traceback (most recent call last):
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/batch_run_vss.py"", line 122, in _run_one
    static_result = compute_static_chain(""001"")
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_static_vss.py"", line 89, in compute_static_chain
    rp_instance, rp_scenario_data, abstract_model, sim_ctx = solve_rp(sim)
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/vssd/run_vssd.py"", line 73, in solve_rp
    Solver(instance_wrapper, sim_ctx).solve()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 107, in solve
    self._solve_model()
  File ""/users/delfos/aina/secoem-VSS/QHS/codes/solver.py"", line 95, in _solve_model
    self.results = solver.solve(instance, tee=True, symbolic_solver_labels=True)  # Solve and print log
  File ""/users/delfos/aina/mmobec-pyomo/venv/lib/python3.10/site-packages/pyomo/opt/base/solvers.py"", line 657, in solve
    raise ApplicationError(""Solver (%s) did not exit normally"" % self.name)
pyomo.common.errors.ApplicationError: Solver (gurobi) did not exit normally
"
