ren_type,branch,num_scenarios_folder,scenario_dir,lane,pinned_cores,concurrency_lanes,threads_per_solve,pid,hostname,loadavg_1min_start,loadavg_1min_end,num_scenarios_original,num_scenarios_reduced,num_scenarios_in_model,preprocess_time_s,build_instance_time_s,solve_time_s,wall_time_total_s,solver_status,termination_condition,solver_message,solver_wallclock_time_s,num_variables,num_constraints,num_binary_vars,num_integer_vars,lower_bound,upper_bound,gurobi_nodes_explored,gurobi_simplex_iterations,gurobi_best_objective,gurobi_best_bound,gurobi_gap_pct,obj_fun,obj_DA_income,obj_RM_income,obj_IM_income,obj_IB_income,obj_IB_costs,obj_IB_net,obj_FD_costs,results_dir,solver_log_path,status,error,method,time_limit_s,method_label,reduction_ratio,solve_time_per_scenario_s
dif_ren,15min_different_ren,50,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc50_15min_different_ren,0,"0,1,2,3",1,4,4016075,azathoth,1.64306640625,1.53076171875,50,46,46.0,0.4954662322998047,1.0666329860687256,429.41594982147217,439.0222852230072,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,123741.0,455099.0,13248.0,13248.0,-17533.559617192062,-17429.86788117987,1,234879,-17533.55961719,-17429.86788118,0.5914,-17533.559617192226,-23149.87657537986,4829.826666668504,1113.9511025318222,369.442550377351,601.2514501898635,-231.8088998125125,95.65191120000308,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc50_15min_different_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc50_15min_different_ren/DA/ec/001/solver_log.txt,ok,,dif_ren,14400,Different-Ren,0.92,9.335129343945047
dif_ren,15min_different_ren,60,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc60_15min_different_ren,0,"0,1,2,3",16,4,4021219,azathoth,3.5771484375,51.1953125,60,51,51.0,0.6558177471160889,0.4601640701293945,1141.200228214264,1152.4656834602356,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,137191.0,518753.0,14688.0,14688.0,-17217.317235205817,-17130.084148015107,1,272114,-17217.31723521,-17130.08414802,0.5067,-17217.31723520562,-27807.517140298103,5214.485813010386,5634.973475836983,581.7050868040054,750.8437083030533,-169.13862149904787,90.12076225555334,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc60_15min_different_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc60_15min_different_ren/DA/ec/001/solver_log.txt,ok,,dif_ren,14400,Different-Ren,0.85,22.37647506302478
dif_ren,15min_different_ren,70,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc70_15min_different_ren,1,"4,5,6,7",16,4,4021223,azathoth,3.5771484375,59.19091796875,70,60,60.0,0.7208516597747803,1.460963487625122,718.5871005058289,731.884200334549,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,161401.0,682021.0,17280.0,17280.0,-16767.16851734134,-16735.18522322989,1,318338,-16767.16851734,-16735.18522323,0.1907,-16767.16851734117,-28667.68371139232,5498.17125731324,6567.998320579014,439.5435092202083,517.3888601818887,-77.84535096168042,87.80903287959289,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc70_15min_different_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc70_15min_different_ren/DA/ec/001/solver_log.txt,ok,,dif_ren,14400,Different-Ren,0.8571428571428571,11.976451675097147
dif_ren,15min_different_ren,80,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc80_15min_different_ren,2,"8,9,10,11",16,4,4021221,azathoth,3.5771484375,49.67578125,80,75,75.0,0.8267779350280762,0.6519942283630371,1842.9654371738436,1858.7998867034912,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,201751.0,994734.0,21600.0,21600.0,-16204.060255798624,-16167.471866956992,1,525124,-16204.0602558,-16167.47186696,0.2258,-16204.060255798864,-27688.761121837768,5926.460485811768,5850.493055449753,431.99758483402456,631.9559493638161,-199.95836452979157,92.29431069270788,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc80_15min_different_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc80_15min_different_ren/DA/ec/001/solver_log.txt,ok,,dif_ren,14400,Different-Ren,0.9375,24.572872495651247
dif_ren,15min_different_ren,90,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc90_15min_different_ren,3,"12,13,14,15",16,4,4021222,azathoth,3.5771484375,52.35009765625,90,88,88.0,0.9941065311431884,0.7661585807800293,3246.5754945278168,3265.7209029197693,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,236721.0,1235255.0,25344.0,25344.0,-17639.689939077634,-17613.44662958754,1,685489,-17639.68993908,-17613.44662959,0.1488,-17639.689939077827,-31997.74142697997,5670.097261915858,8869.357399460829,538.5503049932277,633.4436613430017,-94.89335634977408,86.50981712457214,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc90_15min_different_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc90_15min_different_ren/DA/ec/001/solver_log.txt,ok,,dif_ren,14400,Different-Ren,0.9777777777777777,36.89290334690701
dif_ren,15min_different_ren,100,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc100_15min_different_ren,4,"16,17,18,19",16,4,4021225,azathoth,3.5771484375,51.119140625,100,90,90.0,1.0589542388916016,0.7934179306030273,2768.962981939316,2789.2151503562927,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,242101.0,1263544.0,25920.0,25920.0,-17285.647129708006,-17259.05341479811,1,597058,-17285.64712971,-17259.0534148,0.1538,-17285.647129707966,-27349.85396043952,5849.160369678958,4516.911575259957,504.5637656839982,713.4906727800155,-208.9269070960173,92.9382071115022,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc100_15min_different_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc100_15min_different_ren/DA/ec/001/solver_log.txt,ok,,dif_ren,14400,Different-Ren,0.9,30.766255354881288
dif_ren,15min_different_ren,110,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc110_15min_different_ren,5,"20,21,22,23",16,4,4021226,azathoth,3.5771484375,49.728515625,110,88,88.0,1.0857703685760498,0.7941989898681641,2234.0260033607483,2254.2224011421204,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,236721.0,1227086.0,25344.0,25344.0,-17238.018757051173,-17216.02486746555,1,584420,-17238.01875705,-17216.02486747,0.1276,-17238.01875705116,-26636.992892503036,5701.846107461332,3795.134538292588,397.14451713752834,403.7467504045304,-6.6022332670020205,91.4042770350638,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc110_15min_different_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc110_15min_different_ren/DA/ec/001/solver_log.txt,ok,,dif_ren,14400,Different-Ren,0.8,25.386659129099414
dif_ren,15min_different_ren,120,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc120_15min_different_ren,6,"24,25,26,27",16,4,4021227,azathoth,3.5771484375,54.5341796875,120,94,94.0,1.211129665374756,0.8365817070007324,3965.8846759796143,3987.676346063614,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,252861.0,1348439.0,27072.0,27072.0,-17064.28374795363,-17011.65279920087,1,698829,-17064.28374795,-17011.6527992,0.3084,-17064.283747953607,-27669.463889948427,5742.532396636496,5042.32274535639,368.66517741396046,456.6632468417864,-87.9980694278259,91.67693056990622,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc120_15min_different_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc120_15min_different_ren/DA/ec/001/solver_log.txt,ok,,dif_ren,14400,Different-Ren,0.7833333333333333,42.19026251042143
dif_ren,15min_different_ren,130,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc130_15min_different_ren,7,"28,29,30,31",16,4,4021220,azathoth,3.5771484375,55.39990234375,130,109,109.0,1.2496912479400637,0.9688775539398192,6032.025668144226,6058.151193618774,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,293211.0,1759050.0,31392.0,31392.0,-17354.75509133304,-17272.887611359583,1,789720,-17354.75509133,-17272.88761136,0.4717,-17354.755091332903,-27036.617977397367,5500.668221258755,4356.348845652996,388.9169707231939,472.1777691720151,-83.26079844882116,91.89338239914994,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc130_15min_different_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc130_15min_different_ren/DA/ec/001/solver_log.txt,ok,,dif_ren,14400,Different-Ren,0.8384615384615385,55.33968502884611
dif_ren,15min_different_ren,140,/users/delfos/aina/secoem-VSS/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_QHS/FTC_20251031_20251130_c31_sc140_15min_different_ren,8,"32,33,34,35",16,4,4021229,azathoth,3.5771484375,50.3662109375,140,120,120.0,1.372891187667847,1.051602840423584,9506.00698018074,9535.11015033722,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,322801.0,2068019.0,34560.0,34560.0,-16813.024271642746,-16778.983813378298,1,954696,-16813.02427164,-16778.98381338,0.2025,-16813.024271642305,-26696.054079649675,6092.732733200744,3928.267615852616,361.5550728204885,408.0239785283121,-46.46890570782364,91.50163533826758,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc140_15min_different_ren/DA/ec/001,/users/delfos/aina/secoem-VSS/QHS/results/FTC_20251031_20251130_c31_sc140_15min_different_ren/DA/ec/001/solver_log.txt,ok,,dif_ren,14400,Different-Ren,0.8571428571428571,79.2167248348395
