method,num_scenarios_original,num_scenarios_reduced,T_periods,total_sold_MWh,total_bought_MWh,net_MWh,peak_sold_MW,peak_bought_MW,method_label
dif_ren,50,46,96,0.466109800000012,100.26157234688884,-99.79546254688883,0.38749439999991386,11.030000000000008,Different-Ren
dif_ren,60,51,96,0.3765424999999999,117.91707866134203,-117.54053616134202,0.3674944444444441,11.029999999999976,Different-Ren
dif_ren,70,60,96,0.3533774149660355,121.58424269145075,-121.23086527648472,0.34283102040824254,11.029999999999964,Different-Ren
dif_ren,80,75,96,0.3667537239583548,118.38093414843831,-118.01418042447995,0.3767643750000425,11.030000000000031,Different-Ren
dif_ren,90,88,96,0.3454626954733065,128.43721714076383,-128.09175444529052,0.4318222222222381,11.030000000000019,Different-Ren
dif_ren,100,90,96,0.16603166666667515,117.10809822023636,-116.94206655356967,0.38086000000002695,11.03000000000004,Different-Ren
dif_ren,110,88,96,0.2971171074380463,114.47238458122017,-114.17526747378211,0.27876363636366586,11.029999999999934,Different-Ren
dif_ren,120,94,96,0.3942666666667134,119.12737996778513,-118.73311330111844,0.38486666666666797,11.029999999999982,Different-Ren
dif_ren,130,109,96,0.4618921893491393,116.11031602722488,-115.64842383787575,0.43873846153848034,11.029999999999905,Different-Ren
dif_ren,140,120,96,0.3469607142857331,114.84977123905122,-114.5028105247655,0.4093285714285903,11.029999999999976,Different-Ren
dif_ren,150,130,96,0.4710501333334548,126.90415507296174,-126.43310493962828,0.45590666666681146,11.02999999999993,Different-Ren
dif_ren,160,140,96,0.0,107.99777407349765,-107.99777407349765,0.0,11.030000000000019,Different-Ren
dif_ren,170,141,96,0.0,131.59397796489662,-131.59397796489662,0.0,11.029999999999907,Different-Ren
dif_ren,180,148,96,0.0,113.8137731765526,-113.8137731765526,0.0,11.029999999999955,Different-Ren
same_ren,50,30,96,0.0,129.41276804381266,-129.41276804381266,0.0,10.290000000000008,Same-Ren
same_ren,60,36,96,0.0,165.92831381851974,-165.92831381851974,0.0,10.289999999999997,Same-Ren
same_ren,70,38,96,0.0,149.82774927904723,-149.82774927904723,0.0,10.289999999999981,Same-Ren
same_ren,80,39,96,0.0,163.258633368125,-163.258633368125,0.0,10.290000000000024,Same-Ren
same_ren,90,44,96,0.0,151.1682131925926,-151.1682131925926,0.0,9.899999999999991,Same-Ren
same_ren,100,37,96,0.0,138.1896624808054,-138.1896624808054,0.0,10.290000000000022,Same-Ren
same_ren,110,46,96,0.0,142.23047399586733,-142.23047399586733,0.0,10.28999999999998,Same-Ren
same_ren,120,51,96,0.0,135.9378398032406,-135.9378398032406,0.0,10.289999999999996,Same-Ren
same_ren,130,52,96,0.0,129.50611289888417,-129.50611289888417,0.0,9.899999999999958,Same-Ren
same_ren,140,60,96,0.0,138.53992636456633,-138.53992636456633,0.0,9.89999999999997,Same-Ren
same_ren,150,59,96,0.0,142.64866269390956,-142.64866269390956,0.0,9.899999999999968,Same-Ren
same_ren,160,59,96,0.0,151.4915883478001,-151.4915883478001,0.0,10.28511062500001,Same-Ren
same_ren,170,73,96,0.0,138.1815042940387,-138.1815042940387,0.0,10.28516885813145,Same-Ren
same_ren,180,69,96,0.0,142.05686847979135,-142.05686847979135,0.0,9.899999999999968,Same-Ren
same_ren,190,77,96,0.0,146.8761839174748,-146.8761839174748,0.0,9.899999999999968,Same-Ren
same_ren,200,65,96,0.0,152.66514873169007,-152.66514873169007,0.0,10.286159750000008,Same-Ren
same_ren,210,81,96,0.0,148.73009001511667,-148.73009001511667,0.0,10.282587664399081,Same-Ren
same_ren,220,82,96,0.0,142.96895105698854,-142.96895105698854,0.0,10.283029256198326,Same-Ren
same_ren,230,77,96,0.0,135.71511791821553,-135.71511791821553,0.0,10.283390321361043,Same-Ren
same_ren,240,93,96,0.0,136.0808768116314,-136.0808768116314,0.0,10.283625347222188,Same-Ren
same_ren,250,78,96,0.0,139.14475635398176,-139.14475635398176,0.0,10.275145120000005,Same-Ren
same_ren,260,97,96,0.0,143.0512374263742,-143.0512374263742,0.0,10.275120118343153,Same-Ren
same_ren,270,93,96,0.0,135.3644193112941,-135.3644193112941,0.0,10.273353251028825,Same-Ren
same_ren,280,89,96,0.0,132.8829736296277,-132.8829736296277,0.0,10.21444999999996,Same-Ren
same_ren,290,101,96,0.0,136.07760710873504,-136.07760710873504,0.0,10.219544827586152,Same-Ren
same_ren,300,104,96,0.0,136.3423301591107,-136.3423301591107,0.0,10.284279999999997,Same-Ren
same_ren,310,99,96,0.0,138.57021202545843,-138.57021202545843,0.0,10.28143388137358,Same-Ren
same_ren,320,110,96,0.0,137.83279148131533,-137.83279148131533,0.0,10.284093750000007,Same-Ren
