Variable,Unit,T,S,Mean,Std,Min,P10,Median,P90,Max,% zero,% neg
cV,–,96,141,0.4553689534765622,1.007604514661784,0.0,0.0,0.0,2.956012500000349,3.0,74.4459219858156,0.0
cV_dV,MW,96,141,0.0910737906953128,1.4543149050294326,-3.0,-2.2298823529411984,0.0,2.956012500000349,3.0,51.62529550827423,22.820626477541374
dV,–,96,141,0.3642951627812494,0.8763490006609327,0.0,0.0,0.0,2.2298823529411984,3.0,77.17937352245863,0.0
eDA_m,MWh,96,141,5.4736457691609965,2.9787539655099504,0.0,1.8817529411764704,5.126666666666666,11.019999999999992,11.34000000000001,3.50177304964539,0.0
eDA_p,MWh,96,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
eIM,MWh,96,141,0.4119613512146368,2.6367744036225416,-3.3207333333333344,-2.4846666666666666,-0.5599999999999953,4.310999999999973,5.515000000000033,3.50177304964539,52.61524822695035
eIM_1,MWh,96,141,0.6016868241331804,1.688358726074419,-3.1429058823529488,-0.8461725490196077,0.0,3.5631370588234565,5.515000000000006,52.231087470449175,20.197990543735227
eIM_2,MWh,96,141,0.7113925900299772,1.499122948128071,-2.7051617647058834,-0.0274705882352934,0.0,3.3162235294117615,5.515000000000006,53.7677304964539,11.310579196217493
eIM_3,MWh,96,141,-0.901118062948521,1.2656670775227454,-3.3207333333333344,-2.493666666666667,0.0,0.0,5.515000000000033,50.40632387706856,48.51507092198582
idV,–,96,141,0.6509308510638298,0.47667586282205227,0.0,0.0,1.0,1.0,1.0,34.90691489361702,0.0
ieDA_m,MWh,96,141,0.9649822695035462,0.18382461491141935,0.0,1.0,1.0,1.0,1.0,3.50177304964539,0.0
ieDA_p,MWh,96,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
lD,–,96,141,69.24276204196218,26.845782024688514,15.8605,29.548,73.8826,103.0772,134.9424,0.0,0.0
lI_1,–,96,141,69.30140687056739,29.45406459329395,-1.4481,29.5951,70.2935,106.0731,202.8832,0.0,1.4479905437352245
lI_2,–,96,141,71.4625033540189,29.520022747193753,2.7707,28.8284,71.6904,109.211,218.298,0.0,0.0
lI_3,–,96,141,0.8187630097517729,7.7857413354155485,0.0,0.0,0.0231,0.11665,124.1592,48.95833333333333,0.0
lNIB,–,96,141,87.20204932771867,31.521782096135798,-67.4821,42.7671,90.14359999999999,124.9744,219.3334,0.0,0.6057919621749409
lPIB,–,96,141,52.70146242612293,29.60497834253439,-92.9096,12.6448,54.11235,90.24795,162.6081,0.0,4.321808510638299
lR,–,96,141,4.685534027777778,5.013124966719504,-21.7421,0.7839,3.5602,9.6883,115.3976,0.0,3.8120567375886525
pIB_m,MWh,96,141,0.06448862752577687,0.15160698850333712,0.0,0.0,0.0,0.258382352941175,1.2021882352941178,74.28339243498819,0.0
pIB_p,MWh,96,141,0.0782903747531796,0.1804226123751057,0.0,0.0,0.0,0.33154411764705893,1.558976470588236,70.78900709219859,0.0
pPV,MW,96,141,0.2841688829787234,0.4325998740173373,0.0,0.0,0.0,1.019,1.766,57.09219858156028,0.0
pW,MW,96,141,0.8744389036643025,0.27453415780681784,0.0,0.551,0.875,1.225,2.539,0.014775413711583925,0.0
rD,MW,96,141,7.418104258760314,5.051311906141089,0.0,0.0,8.309999999999997,13.455217647058824,18.72000000000009,10.630910165484634,0.0
rD_B,MW,96,141,2.752599793366386,1.5073553032390659,0.0,0.0,3.0,4.890843137254906,6.0,13.622931442080377,0.0
rD_FD,MW,96,141,4.665504465393912,4.066657154674986,0.0,0.0,5.4,9.15,12.72000000000016,34.419326241134755,0.0
rU,MW,96,141,4.663498668524442,2.2819642696217697,0.0,0.720999999998412,5.096000000000014,7.740000000000003,8.820000000000002,4.380910165484633,0.0
rU_B,MW,96,141,2.855408478228296,1.5885715878730002,0.0,0.2247823529412489,3.0,5.9015882352940565,6.0,6.767139479905437,0.0
rU_FD,MW,96,141,1.8080901902961597,1.1506242772123352,0.0,0.0,2.2,2.930000000000001,3.1800000000000086,25.11820330969267,0.0
socV,MWh,96,141,0.443997527256851,0.24954355579391937,0.1,0.1937499999999946,0.4,0.825,0.9,0.0,0.0
var_afd_m,MW,96,141,0.47305964464277866,0.6279715424643991,0.0,0.0,0.0,1.4,1.530000000000002,61.82033096926713,0.0
var_afd_p,MW,96,141,0.47305964464277006,0.4897538107768701,0.0,0.0,0.45,1.1,1.5900000000001606,42.856087470449175,0.0
var_fd,MW,96,141,6.115416666666675,1.7286927047039866,3.4899999999999407,3.935217647058812,6.34,8.41,9.340000000000003,0.0,0.0
