Variable,Unit,T,S,Mean,Std,Min,P10,Median,P90,Max,% zero,% neg
cV,–,96,151,0.38322714314214723,0.9550476707632131,0.0,0.0,0.0,3.0,3.0,77.72488962472406,0.0
cV_dV,MW,96,151,-0.09002123803823679,1.539315371793549,-3.0,-3.0,0.0,3.0,3.0,58.59547461368654,19.12941501103753
dV,–,96,151,0.4732483811803841,1.0462564265880832,0.0,0.0,0.0,3.0,3.0,80.87058498896246,0.0
eDA_m,MWh,96,151,5.762432943349205,2.931917402154568,1.4018249999999928,2.155666666666665,5.483999999999789,9.54,10.290000000000015,0.0,0.0
eDA_p,MWh,96,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
eIM,MWh,96,151,0.8237814978378929,2.1208412888787884,-2.93,-1.6743026785715172,1.2170000000000067,3.7560267857142957,5.145000000000008,0.0,47.06815673289183
eIM_1,MWh,96,151,0.34349228083486244,1.590363291330103,-2.663606547619048,-1.1879992329817752,0.0,3.218673214285745,5.09173928571429,26.331401766004415,40.811258278145694
eIM_2,MWh,96,151,0.09521827483730166,1.1528648748964057,-2.6634607142857143,-1.0491666666666668,0.0,0.6583357142857247,5.145000000000008,45.15038631346579,28.359547461368656
eIM_3,MWh,96,151,0.3850709421657287,1.87864363430244,-2.93,-1.6531651785714285,0.0,3.642829398370094,5.145000000000002,49.14459161147903,26.876379690949225
idV,–,96,151,0.3199503311258278,0.4664569827307777,0.0,0.0,0.0,1.0,1.0,68.00496688741721,0.0
ieDA_m,MWh,96,151,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ieDA_p,MWh,96,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
lD,–,96,151,68.56796094784768,25.52085029951585,17.8289,29.898,71.4333,101.3414,134.9652,0.0,0.0
lI_1,–,96,151,66.08893385071744,27.740686405014323,-3.3387,27.0268,68.40815,99.75335,158.6296,0.0,0.11037527593818984
lI_2,–,96,151,66.57594661285873,28.930394171422776,-3.3214,26.167,68.81235000000001,101.8372,204.6346,0.0,0.13796909492273732
lI_3,–,96,151,32.654874682671085,41.934141440841664,-23.4321,0.0,0.115,98.92179999999999,218.4808,45.83333333333333,0.7450331125827815
lNIB,–,96,151,85.49662217163355,30.53218616776709,-93.0881,45.9093,88.7933,120.1914,209.8609,0.0,0.9036975717439293
lPIB,–,96,151,51.601604180463575,28.71107297681711,-102.0712,15.1657,52.6843,86.15465,163.1056,0.0,3.4975165562913904
lR,–,96,151,5.183760906456953,7.331105858047862,-24.2908,0.7101,3.415,12.12415,116.1999,0.0,6.636313465783665
pIB_m,MWh,96,151,0.04104702330966307,0.13897683897656862,0.0,0.0,0.0,0.11496607142857797,1.1773196428571444,85.60292494481236,0.0
pIB_p,MWh,96,151,0.04941431916938331,0.14987662343694777,0.0,0.0,0.0,0.17279732142857085,1.0766535714285712,83.5126931567329,0.0
pPV,MW,96,151,0.2864075607064018,0.438463814116301,0.0,0.0,0.0,1.0630000000000002,1.766,56.54663355408388,0.0
pW,MW,96,151,0.876219646799117,0.3001623158947821,0.0,0.534,0.873,1.249,1.938,1.1520419426048565,0.0
rD,MW,96,151,7.482795344980115,4.96908456038428,0.0,0.0,8.4,13.320000000000077,18.720000000000127,13.624448123620308,0.0
rD_B,MW,96,151,2.8596463237197094,1.6035764566280464,0.0,0.0,3.0,6.0,6.0,15.928532008830022,0.0
rD_FD,MW,96,151,4.623149021260405,3.927169210298752,0.0,0.0,5.425999999999995,9.360000000000149,12.720000000000129,36.50662251655629,0.0
rU,MW,96,151,4.628155572284295,2.297854153653881,0.0,0.6238357142858293,4.920000000000002,8.2,8.820000000000055,9.457781456953644,0.0
rU_B,MW,96,151,2.778125144254295,1.6290457840901698,0.0,0.0,3.0,6.0,6.0,16.625275938189844,0.0
rU_FD,MW,96,151,1.8500304280300004,1.157707682980504,0.0,0.0,2.2,2.9400000000000026,3.1800000000000144,24.19288079470199,0.0
socV,MWh,96,151,0.5289364770893991,0.2643818728577756,0.1,0.19375,0.5766250000000002,0.825,0.9,0.0,0.0
var_afd_m,MW,96,151,0.4629523575074447,0.6327144499945608,0.0,0.0,0.0,1.410000000000001,1.5900000000000212,62.61727373068433,0.0
var_afd_p,MW,96,151,0.462952357507439,0.44787944678712904,0.0,0.0,0.4675000000000002,1.1,1.5900000000000327,39.61782560706402,0.0
var_fd,MW,96,151,6.115416666666672,1.7695833480649035,3.489999999999947,3.925000000000001,5.761473214285715,8.46,9.54,0.0,0.0
