ren_type,branch,num_scenarios_folder,scenario_dir,lane,pinned_cores,concurrency_lanes,threads_per_solve,pid,hostname,loadavg_1min_start,loadavg_1min_end,num_scenarios_original,num_scenarios_reduced,num_scenarios_in_model,preprocess_time_s,build_instance_time_s,solve_time_s,wall_time_total_s,solver_status,termination_condition,solver_message,solver_wallclock_time_s,num_variables,num_constraints,num_binary_vars,num_integer_vars,lower_bound,upper_bound,gurobi_nodes_explored,gurobi_simplex_iterations,gurobi_best_objective,gurobi_best_bound,gurobi_gap_pct,obj_fun,obj_DA_income,obj_RM_income,obj_IM_income,obj_IB_income,obj_IB_costs,obj_IB_net,obj_FD_costs,results_dir,solver_log_path,status,error,traceback
dif_ren,15min_different_ren,50,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc50_15min_different_ren,0,"0,1,2,3",1,4,3909704,azathoth,0.947265625,2.42431640625,50,46,46,0.5086817741394043,1.0624210834503174,307.0590789318085,316.8125259876251,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,123741,454089,13248,13248,-28014.412301343265,-27734.342777504753,1,200267,-28014.41230134,-27734.3427775,0.9997,-28014.412301344084,-38875.79882196951,5681.298794457082,5396.382582336656,490.33316357008204,610.3474047142129,-120.01424114413084,96.28061502366243,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc50_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc50_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,60,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc60_15min_different_ren,0,"0,1,2,3",16,4,3910079,azathoth,1.59619140625,55.791015625,60,51,51,0.619431734085083,1.261573314666748,798.4807684421539,809.8987410068512,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,137191,534494,14688,14688,-26373.884074473226,-26110.452071857828,1,207221,-26373.88407447,-26110.45207186,0.9988,-26373.88407447407,-45442.736490658615,6093.082217652766,13251.90789466207,349.8625699963476,531.2877084256367,-181.42513842928906,94.71255769999874,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc60_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc60_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,90,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc90_15min_different_ren,3,"12,13,14,15",16,4,3910082,azathoth,1.59619140625,53.0126953125,90,76,76,0.9165816307067871,0.6897356510162354,891.8164002895355,913.747457742691,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,204441,937437,21888,21888,-27572.058570853307,-27298.739938007562,1,405996,-27572.05857085,-27298.73993801,0.9913,-27572.058570853504,-41246.370517513205,5634.999881866824,8374.651977746073,281.86030375177023,526.7752774318425,-244.91497368007225,90.42493927233862,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc90_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc90_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,80,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc80_15min_different_ren,2,"8,9,10,11",16,4,3910084,azathoth,1.59619140625,52.0712890625,80,70,70,0.7676777839660645,0.621074914932251,929.0547423362732,944.6424264907837,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,188301,913643,20160,20160,-28684.229013264747,-28397.54733502691,1,419591,-28684.22901326,-28397.54733503,0.9994,-28684.22901326492,-37244.12822250748,5102.478271230053,3781.175778134236,391.26539180117487,619.6909048923837,-228.42551309120887,95.32932703125059,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc80_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc80_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,70,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc70_15min_different_ren,1,"4,5,6,7",16,4,3910083,azathoth,1.59619140625,51.00341796875,70,55,55,0.6280159950256348,0.4864976406097412,1006.8842558860779,1019.1083831787109,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,147951,589346,15840,15840,-27610.975793462436,-27336.040306818326,1,275053,-27610.97579346,-27336.04030682,0.9957,-27610.975793462225,-39873.71812602987,7079.5915520475355,5488.730740657947,400.18162301356824,616.4344146751927,-216.25279166162443,89.32716847619115,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc70_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc70_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,100,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc100_15min_different_ren,4,"16,17,18,19",16,4,3910087,azathoth,1.59619140625,58.5498046875,100,88,88,0.9888355731964111,0.779693603515625,2113.999399662018,2133.769955396652,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,236721,1233539,25344,25344,-25736.921226084836,-25480.11456368894,1,608027,-25736.92122608,-25480.11456369,0.9978,-25736.92122608499,-33115.32056098816,6233.837561745298,1556.7132218372521,440.16670512767803,755.4992673529107,-315.33256222523266,96.81888645422244,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc100_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc100_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,110,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc110_15min_different_ren,5,"20,21,22,23",16,4,3910086,azathoth,1.59619140625,60.4501953125,110,98,98,1.0315475463867188,0.8506252765655518,2725.0261974334717,2747.3916912078857,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,263621,1522637,28224,28224,-29339.980908336624,-29046.67724813571,1,719811,-29339.98090834,-29046.67724814,0.9997,-29339.98090833568,-35058.77730654851,5395.976245692745,711.3131621328821,358.86641526716835,652.4287196345956,-293.56230436742726,94.93070524518369,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc110_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc110_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,130,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc130_15min_different_ren,7,"28,29,30,31",16,4,3910085,azathoth,1.59619140625,58.63916015625,130,108,108,1.2954037189483643,0.948681116104126,4642.127003192902,4667.769258260727,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,290521,1696651,31104,31104,-27595.138131694803,-27335.678951658978,1,759220,-27595.13813169,-27335.67895166,0.9402,-27595.138131694133,-39650.629735786715,5833.744970577713,6537.124669822537,468.398832439796,693.0803173151935,-224.68148487539747,90.69655143274338,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc130_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc130_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,120,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc120_15min_different_ren,6,"24,25,26,27",16,4,3910096,azathoth,1.59619140625,58.3857421875,120,108,108,1.1513044834136963,0.935666561126709,4737.889726161957,4763.340083599091,ok,optimal,"Model was solved to optimality (subject to tolerances), and an optimal solution is available.",<undefined>,290521,1751542,31104,31104,-26271.740485026232,-26010.885042211772,1,823762,-26271.74048503,-26010.88504221,0.9929,-26271.740485026512,-33048.576617930536,5956.341745171615,1101.7347704237789,384.3704254997295,573.2852987650152,-188.91487326528573,92.32550942592349,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc120_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc120_15min_different_ren/DA/ec/001/solver_log.txt,ok,,
dif_ren,15min_different_ren,140,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/scenarios_AMPL/scenarios_AMPL_dif_ren/FTC_20251031_20251130_c30_sc140_15min_different_ren,8,"32,33,34,35",16,4,3910094,azathoth,1.59619140625,54.9248046875,140,122,,1.3991215229034424,1.061112880706787,7261.876343727112,7286.510230779648,aborted,maxTimeLimit_noSolution,,,,,,,,,1,1048566,,,,,,,,,,,,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc140_15min_different_ren/DA/ec/001,/users/delfos/aina/mmobec-pyomo/results/FTC_20251031_20251130_c30_sc140_15min_different_ren/DA/ec/001/solver_log.txt,timeout_no_solution,ValueError: Cannot load a SolverResults object with bad status: aborted,
