method,sc_folder,day,num_scenarios,num_stages,in_sample_prediction,path,num_nodes,num_tree_stages,num_leaf_nodes,avg_nodes_per_stage,max_nodes_per_stage,avg_leaf_group_size,max_leaf_group_size,prob_min,prob_max,prob_std,prob_entropy_norm,effective_num_scenarios
dif_ren,100,1,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_1.json,4967,103,88,48.22330097087379,88,1.1363636363636365,3,0.01,0.03,0.004312196809320517,0.9878902574490014,76.92307692307692
dif_ren,100,10,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_10.json,3758,103,83,36.48543689320388,83,1.2048192771084338,6,0.01,0.06,0.008029919374916449,0.9695955030985347,57.4712643678161
dif_ren,100,11,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_11.json,5709,103,90,55.42718446601942,90,1.1111111111111112,4,0.01,0.04,0.004581228472908511,0.9872001637490533,76.92307692307693
dif_ren,100,12,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_12.json,4820,103,83,46.79611650485437,83,1.2048192771084338,6,0.01,0.06,0.007566418538847027,0.9727327385957235,59.523809523809526
dif_ren,100,13,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_13.json,4811,103,89,46.70873786407767,89,1.1235955056179776,5,0.01,0.05,0.005572852479836963,0.983326422082212,71.42857142857143
dif_ren,100,14,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_14.json,6632,103,92,64.3883495145631,92,1.0869565217391304,4,0.01,0.04,0.004078622399846461,0.9896905031703607,80.64516129032259
dif_ren,100,15,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_15.json,3826,103,82,37.14563106796116,82,1.2195121951219512,3,0.01,0.03,0.00518543698182178,0.9836585977032617,69.44444444444444
dif_ren,100,16,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_16.json,4880,103,78,47.37864077669903,78,1.2820512820512822,6,0.01,0.06,0.008304684482411102,0.9682931342726746,54.94505494505494
dif_ren,100,17,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_17.json,6303,103,94,61.19417475728155,94,1.0638297872340425,3,0.01,0.03,0.0028466145021829046,0.9941595822726925,87.71929824561404
dif_ren,100,18,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_18.json,5089,103,93,49.407766990291265,93,1.075268817204301,4,0.01,0.04,0.003944932543622396,0.9903884431972843,81.9672131147541
dif_ren,100,19,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_19.json,5622,103,91,54.58252427184466,91,1.098901098901099,3,0.01,0.03,0.0033331320633193627,0.9920883604520079,83.33333333333333
dif_ren,100,2,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_2.json,4844,103,89,47.029126213592235,89,1.1235955056179776,6,0.01,0.06,0.0063281473439679645,0.9799834848543937,67.56756756756755
dif_ren,100,20,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_20.json,5543,103,80,53.81553398058252,80,1.25,9,0.01,0.09,0.010897247358851685,0.9567282874428423,45.45454545454546
dif_ren,100,21,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_21.json,4372,103,89,42.44660194174757,89,1.1235955056179776,6,0.01,0.06,0.005962471533223191,0.982314919618381,69.44444444444443
dif_ren,100,22,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_22.json,4908,103,91,47.650485436893206,91,1.098901098901099,4,0.01,0.04,0.00420751422397289,0.9890151227262106,79.36507936507937
dif_ren,100,23,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_23.json,4969,103,86,48.24271844660194,86,1.1627906976744187,7,0.01,0.07,0.008049334092965944,0.9715902322412372,58.13953488372093
dif_ren,100,24,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_24.json,5251,103,85,50.980582524271846,85,1.1764705882352942,3,0.01,0.03,0.005128116404165498,0.983886281473511,71.42857142857143
dif_ren,100,25,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_25.json,5436,103,86,52.77669902912621,86,1.1627906976744187,4,0.01,0.04,0.005025623903482398,0.9848269066568882,72.46376811594205
dif_ren,100,26,100,102,True,/users/delfos/aina/scentree-gen-remote/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_26.json,5232,103,85,50.79611650485437,85,1.1764705882352942,12,0.01,0.12,0.01209535356468224,0.9558024897695104,41.32231404958679
