#erel:= 0.850;
#emax:= 0.000;
#q:= 0.000;
#nesce:=     1;
#etime:= 0.017;
#snodes:=    34;
param nS:=     1;
param nSG:=    34;
param nRVSG [*] :=
 1 24    5  2    9  2   13  2   17  2   21  9   25  2   29  2   33  2
 2 24    6  2   10  2   14  2   18  2   22  2   26  2   30  2   34 24
 3 24    7 20   11 17   15  2   19  2   23  2   27  2   31  2
 4 24    8  2   12  2   16 13   20  2   24  2   28  4   32  2
;

param ScenF [*] :=
  1 42.9004       59 37.8366      117 59.8164      175 48.2955
  2 55.564        60 31.7092      118 69.7369      176 44.733
  3 50.2509       61 25.8798      119 83.9432      177 37.724
  4 47.5239       62 28.0896      120 75.0372      178 50.2513
  5 47.4726       63 27.7025      121  0.340942    179 69.0726
  6 46.0036       64 28.0098      122  0           180 89.6537
  7 43.8223       65 24.8513      123  0.34031     181 68.7063
  8 33.0886       66 26.6549      124  0           182  0.425995
  9 31.0943       67 41.7643      125  0.342414    183  0.3845
 10 49.3093       68 70.9775      126  0           184  0.4252
 11 58.4984       69 86.1892      127 46.1488      185  0.2827
 12 42.1957       70 84.1216      128 70.1251      186  0.420062
 13 29.6065       71 74.5601      129 69.7814      187  0.1285
 14 25.9044       72 70.3664      130 65.6915      188  0.411296
 15 21.0954       73 38.1921      131 80.7245      189  0.0001
 16 23.3604       74 56.8651      132 81.238       190  0.408547
 17 23.0305       75 51.3953      133 75.6935      191  0
 18 30.0552       76 47.4902      134 64.619       192  0.415184
 19 45.9278       77 47.7352      135 64.6773      193  0
 20 55.6665       78 50.5988      136 59.2016      194 55.0997
 21 61.3463       79 50.7652      137 61.6928      195 53.5404
 22 68.7722       80 46.8787      138 65.3609      196 57.1695
 23 77.7621       81 47.6373      139 65.8401      197 48.5522
 24 61.3955       82 41.3657      140 69.1985      198  0.425135
 25 27.1434       83 39.7358      141 78.7728      199  0
 26 41.957        84 38.2347      142 83.4286      200  0.418948
 27 36.8077       85 35.216       143 64.7964      201  0
 28 29.9417       86 35.7982      144  0.324111    202  0.402248
 29 28.4072       87 36.2438      145  0           203  0
 30 28.4377       88 32.8261      146  0.331019    204  0.400938
 31 32.1399       89 33.8295      147  0           205  0
 32 33.0384       90 38.8162      148  0.368966    206  0.404891
 33 36.848        91 55.1006      149  0.0002      207  0
 34 37.9145       92 78.1329      150  0.381418    208  0.543188
 35 30.0794       93 97.3508      151  0.0888      209  3.62772
 36 31.4242       94 97.812       152 38.2701      210  0
 37 29.0563       95 89.2496      153 49.7009      211  3.35764
 38 22.1511       96 83.2952      154 60.9083      212  1.80966
 39 21.77         97  0.378742    155 63.0671      213  4.58776
 40 27.5855       98  0           156 52.0401      214  1.28526
 41 36.1127       99  0.353511    157 45.497       215  4.96096
 42 24.6695      100  0           158 43.4501      216  0.819257
 43 33.7336      101 59.3722      159 43.6041      217  0.0928046
 44 19.1494      102 86.7733      160 41.6829      218  0
 45 23.0545      103 82.1865      161 46.6409      219  0.805601
 46 23.9762      104 76.6417      162 59.8088      220  1.82583
 47 27.4903      105 77.2418      163 71.7394      221  4.65996
 48 25.654       106 77.3191      164 64.817       222  0
 49 31.912       107 65.4572      165  0.417277    223  0
 50 47.5903      108 59.7778      166  0.2054      224 83.2548
 51 36.4653      109 64.7063      167  0.445687    225  2.48682
 52 32.933       110 75.0403      168  0.2979      226  0.361179
 53 32.5326      111 74.381       169  0.440031    227  0.0777973
 54 35.9398      112 65.6658      170  0.379       228  0.310311
 55 38.9634      113 62.4523      171  0.428092    229  0.52428
 56 39.0649      114 67.1387      172  0.4114      230  0.487537
 57 53.0603      115 63.1802      173 41.4855      231  0.686903
 58 52.9782      116 57.2616      174 44.9846
;

param ScenO [*] :=
  1  43.23        59   4.01       117  10.65       175  13.98
